,thscode,ths_fund_scale_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
41,210009.OF,1405392362.82,1212604198.55,1030101167.43,870138337.88,992786414.69,833301900.95,785992185.59,802760145.27,608684754.6,617477309.8,450670636.79,412427284.04,382067271.44,359392247.71,306029313.1,401705172.69,386365057.02,305305692.34,283504214.48,314310174.84,534724496.31,690230538.83,675454991.35,637453298.6313044
42,210010.OF,3961750.24,3896209.18,3943270.11,5037389.21,5138447.32,5827198.78,369607361.94,382035865.54,381882951.04,406378123.19,532424622.89,827212545.25,405453538.04,482513310.85,495674941.8,399545362.74,254256673.97,164671612.99,146328790.78,143101032.12,137202759.84,128815398.48,118351093.93,252315663.05347827
43,213003.OF,2216735199.2,1876093666.02,1739641079.05,1529105306.33,1819577991.24,1693424075.5,1750293361.31,1758717364.64,1727963778.87,2067904140.15,1814821718.9,1870249280.03,1382498829.74,1520631647.65,1371325184.51,1447800908.97,1027756849.88,1188534902.81,1055093351.85,1036027039.33,1097590552.85,1041160468.95,940413080.8,1520580859.938261
44,217002.OF,46874237.77,41176850.12,39960365.11,36708857.61,41143172.67,41948506.54,140414857.97,181508412.56,185951405.9,350473513.5,396196114.26,411631140.44,507931840.59,688023401.65,677166612.78,519530874.47,783145119.23,844704447.46,892120925.98,550279078.7,376794198.24,269668070.54,250064310.54,359713752.81
45,217005.OF,1640780595.03,1496024646.16,1433179684.47,1306309108.42,1719391317.29,1648488866.81,1693451643.11,1808942192.04,1525992649.66,1719067748.9,1778370567.59,2145233724.32,1757028216.03,1668077696.04,1166146719.52,1092015745.2,942231962.02,969891540.36,884832088.54,879493434.01,913286822.5,868565254.54,752194129.92,1382999841.412174
46,217009.OF,1107366555.34,958499986.66,888589277.08,773090866.37,1022104608.43,987234327.22,1187489597.45,1158656703.02,993973066.86,1191053522.97,1169969822.85,1254894228.87,1167588016.13,1176466764.54,1014984325.9,1009456734.48,846221015.28,886415699.02,766480937.4,775594638.11,792441752.4,706221216.77,684950117.22,979119294.7986959
47,217010.OF,445224050.92,382535117.91,364818370.42,322969238.61,427019869.63,413367658.71,426967483.82,444990495.33,438328766.46,610093596.38,797741763.64,994206918.62,1101484237.09,1198811050.18,1073261301.74,1132338945.12,919231228.66,887931428.89,740857744.24,693339324.4,695552932.63,597896681.3,570346915.53,681709353.0534781
48,217012.OF,494312180.86,398459768.28,360626979.98,337427642.11,389022382.96,370644766.87,400077910.99,406257638.99,366525410.56,420194474.87,398528498.06,468435411.66,370062524.97,417264380.27,360285800.64,337548412.41,285890151.25,286427380.86,280449909.07,252046554.6,270548376.04,303792978.22,241308689.97,357223401.0647826
49,217013.OF,178975334.31,152543408.1,142530078.18,129346931.41,152223323.72,145493863.76,214142872.35,215878982.83,166367749.6,216021264.14,218511896.11,246454374.98,214545513.86,355098310.86,324555542.43,290373494.51,252517990.74,264846539.1,252381231.36,251937486.97,277106895.38,249375920.25,218652995.87,223038347.86173916
50,217020.OF,250921887.2,203931645.62,172908280.38,143809536.63,163417159.27,145644336.77,154950452.27,157222797.72,161283887.76,187219928.39,184825460.53,198541938.21,162825488.4,192821539.55,178342146.63,208525500.98,166982358.99,195816310.08,196546931.11,171906264.39,169592217.32,141541159.68,107205306.37,174642718.88043478
51,229002.OF,700075725.33,613133402.7,478955069.94,379091477.33,451912118.82,405985038.56,385899532.57,363498419.69,237785491.65,244146862.52,232423487.02,236526538.45,201273703.92,238855560.84,211868581.98,193491371.74,163259244.42,175119354.51,158558765.44,152503661.01,154997344.25,148301580.2,136316713.62,289738219.41347826
52,233006.OF,481511990.75,441729361.39,417442856.55,372000780.34,431443517.22,382504095.7,382198136.48,397432573.56,362102350.92,399287418.52,400718033.91,430309039.18,378595368.97,439973084.31,442115742.63,549552066.83,412193139.53,426266245.16,347362105.68,376485352.56,391830197.46,363529711.73,329975304.84,406806890.18347824
53,233007.OF,503315810.46,483312072.79,473995776.66,417717244.52,513271491.69,496285360.48,540042391.66,570901087.77,515669339.76,618314852.77,692884990.37,742055750.12,723818096.42,829043484.99,734293576.16,681229322.71,495768993.19,547148131.56,434962342.13,458341033.18,440613727.55,333211824.51,339932871.2,547223024.8978261
54,233008.OF,140148260.29,122394633.75,110259289.43,92063638.11,113754255.24,113203937.04,119530742.29,126620515.58,112132264.36,132659502.57,125645224.0,130044273.38,119644963.87,140540200.37,123832589.95,110938815.39,88734619.75,107146983.96,95184449.38,103458414.77,115115994.19,93940432.23,98300873.14,114578037.95826086
55,233009.OF,2315089079.08,1741664618.43,1555754074.42,1432645924.52,1768185942.3,1568270727.84,1457823912.62,1444463854.16,1196203019.32,1330738651.01,1070488982.83,1069467905.6,837138482.28,921243509.6,880297997.2,813936642.27,677023448.93,712337150.59,649844483.98,642154145.83,710467896.74,709013988.46,675493281.37,1138249900.8426087
56,233011.OF,374984187.74,375793941.04,331934066.87,272569298.75,333450721.01,231141003.4,237958755.05,231439921.09,171619666.67,193891624.74,206618046.87,240082120.25,218398624.38,263629635.51,203033255.63,193178363.22,170362926.11,157865011.7,134390737.99,135077007.99,184539494.34,131262222.29,113290569.44,222022226.1773913
57,240004.OF,970967371.56,847481325.3,840273927.68,753788446.47,970425944.23,844379430.01,840217934.53,933829693.07,854493317.59,973328879.85,885809043.85,908528107.0,751219329.84,821212332.51,848806630.0,873411912.56,1048925114.82,1102458974.05,1412975930.19,1608775376.37,1860791255.17,2067770416.8,1436306069.31,1063312033.163478
58,240008.OF,989357072.17,893725912.8,827145755.21,739461952.92,902053599.3,830528194.31,789588865.66,841335718.18,700239788.32,766843100.14,832220931.59,981158733.7,975188587.12,983657513.58,992311491.94,1072536290.38,938399350.58,997872274.28,839054605.37,855055906.63,868510642.45,815179496.66,714545073.16,875911776.3673913
59,240022.OF,718631496.72,625190694.99,474188872.59,388318579.16,389516939.76,310596767.64,278784698.09,508099244.27,232817666.01,223651228.97,389260537.98,1413952093.21,1779103051.03,1648287958.44,1910542425.53,1560909945.8,1662063127.49,1578544948.3,1244172876.2,1179318637.82,1338450594.4,1190691558.44,1199519423.22,967157102.8721738
60,253010.OF,127554097.31,111633057.94,103949612.01,93888584.75,99529001.36,53430544.17,363196979.31,366839969.07,363220259.17,378947112.21,543249464.62,694013274.77,35486300.17,32274395.21,1525701370.54,664834396.64,22366681.77,21749919.82,20871797.9,20332905.08,19960490.07,19306513.1,17782261.81,247831260.3826087
61,257010.OF,1039899691.52,928016613.31,880408662.99,779530446.93,953898174.73,850398024.77,850557286.78,908477656.12,809459798.21,893210579.68,964841451.59,978815609.18,897982423.43,946253883.66,920527746.16,989638375.75,914563536.71,961567152.25,849907019.0,886202987.84,1024660708.35,1018023455.03,1151283254.65,930353240.8104347
62,257020.OF,2597679319.61,3631676079.13,3135077374.12,1855932506.83,2052329580.53,1198721581.53,781725789.75,740941779.9,633591170.62,909770838.99,1334610353.31,1429896512.0,1257693923.06,1400234517.11,1042490079.22,1120593602.89,925766726.15,1051050659.6,1038769841.17,966890574.09,1156615558.98,1095619459.57,892171865.89,1402167378.0021737
63,257040.OF,105501705.44,89189514.03,75748960.12,60950887.38,77850206.41,68234240.37,56064040.72,57148176.56,45467358.43,43606878.04,185710015.81,147100119.53,83891343.59,69523361.85,99921143.59,101265889.41,110320159.28,104034898.02,65189180.69,48652750.59,45663816.68,48699281.19,111607371.66,82667013.01695652
64,257070.OF,726449748.71,618820562.63,560996128.93,478777391.39,665895492.29,582320824.82,1057712077.38,1135209654.75,1933646692.39,2688451222.32,2406687889.48,2171830025.69,1349221267.63,1636718833.62,1358330042.17,1409204618.29,998176443.16,1130481085.27,1188561308.59,1006092586.07,939755133.03,1026186656.61,841969027.59,1213543248.3830435
65,260101.OF,1938402177.32,3891299435.46,3983243454.43,3541415856.35,3511658687.45,3327558103.75,3131129694.5,3759880110.49,4258981463.55,5219506202.6,4907856060.72,6385953517.45,5019002777.03,5945857813.81,6065394731.93,7330626989.9,6001599418.17,6008816425.21,4968862010.62,4472553922.94,5322971864.19,5068924295.03,4608098184.35,4724764921.619565
66,260103.OF,1894923497.48,1608983440.21,1357179451.05,1167131560.58,1409760773.18,1407226179.73,1887449914.32,1738994374.25,1423102419.57,1526256202.15,1597581491.09,1626242873.75,1464203514.92,1525049384.13,1323203256.78,1351869018.65,1141708671.59,1201865884.78,1057297838.95,1088891359.05,1108109896.9,1032435430.85,1004900914.92,1388885536.907826
67,260104.OF,916282842.99,995582869.46,1302989283.2,871026704.95,1219454441.38,1544313696.36,1644690673.07,1744571084.95,1416225664.69,1671250477.37,2378997722.4,3446369085.5,3863665459.78,4459087544.59,3864861379.84,3831101204.25,2997501778.27,3492859053.77,3064634610.08,3126480035.38,3104661892.36,2620662224.69,2596270168.56,2442327821.647391
68,260108.OF,3243343799.92,3975173764.6,3939885448.03,3648896059.5,6749379117.24,13143146229.31,16149186680.54,17518110079.47,13858859403.75,16049419867.47,26587295962.25,39319245186.34,49669159173.62,58235679567.39,54269687744.98,51694064557.37,39302670489.9,45213833506.71,39363455142.54,40054361573.83,38424088289.3,31737231699.68,31393803460.32,27979998991.480873
69,260109.OF,1728099952.95,1860539997.52,1697906785.44,1500470212.49,2544621850.35,3191138286.12,3335596304.6,3315310129.1,2947246379.67,3494031193.39,4453252094.84,5586617594.48,6505154165.28,7221928970.020001,6232619265.63,6078138399.73,4837032226.26,5623031156.88,5021034703.41,5111305869.48,5163171913.59,4229804569.42,4277268324.06,4171970449.7699995
70,260112.OF,1806938787.33,1429239340.0,1265036934.7,2556062707.89,2743780184.5,2214559485.89,1563796518.77,1332289081.62,999131980.89,987559049.76,1048732646.79,874655180.76,779565350.48,866479151.73,957576423.96,1081711948.05,1648576668.34,1868237990.41,2221933879.2,2287571344.68,2998596434.34,4043567121.45,4427063936.7,1826202702.0973911
71,260116.OF,2523651987.51,2408318604.06,2204104515.96,1909455049.62,2139144222.36,2894980053.41,3294247127.46,3306443026.16,2411031038.22,2670023566.21,2398003077.15,3194484365.59,2296924724.77,2026836895.14,1704027254.39,1705864555.9,1433021957.15,1590798050.35,1625806580.69,2619384479.82,2504081810.53,2403820929.96,2301806276.64,2328967832.5673914
72,262001.OF,177358045.98,218782484.79,189359222.71,171374811.18,213412020.82,220688842.05,154428955.41,163159710.7,199866980.12,323704354.08,483968086.7,568716800.62,1861707050.68,1870662392.54,1390519908.19,1201053278.17,1034925616.11,1120694783.09,941961660.11,1242159741.62,1350104707.8,1248173702.39,1138370725.26,760224081.7878261
73,270001.OF,1698473001.85,1634960917.42,1529908219.91,1396129795.11,1586803568.8,1512015126.52,1461423898.82,1512940818.61,1372444500.04,1471507875.24,1531436199.44,1527990719.45,1675419427.05,2542015903.98,2157475388.98,2342922520.36,1989869426.59,2164925493.41,2034810751.14,1980018709.34,1926561004.36,1706469710.25,1640776280.8,1756404315.5421739
74,270002.OF,3689444406.03,4313217107.12,4742519643.93,4862369236.91,5561670292.28,5390971152.22,7139275220.12,13044407353.16,14988982412.51,21621195390.34,27048605693.49,27595782500.91,26089928791.52,25707113756.16,21342084127.18,20506535639.73,17607134360.2,17640022282.23,16046425699.53,16369309507.86,16344292796.63,15127645213.8,15003932553.47,15120994136.405651
75,270005.OF,6651477452.07,5984916114.63,5379856348.55,4642654322.32,5437996074.39,5305769889.13,5720250664.54,5792071167.03,5833793330.9,7485870005.21,6895635255.03,7099998959.93,5842069570.97,6787847057.69,5637656357.54,5434913970.11,4472167339.66,4664589941.05,3823270109.93,3550019026.96,3532662881.84,3002072419.84,2943535847.05,5300917135.059566
76,270006.OF,3513646340.33,3115661000.55,2803347354.05,2428140295.54,3159912729.21,3063252892.74,3313911030.74,3490609808.56,3110206655.16,3603611894.41,3630108957.46,4114992469.73,3760107244.87,3963680338.11,4095710525.79,4241242112.51,4016818493.39,4309378689.7,4695017537.31,4835908112.89,5530362314.8,4219018456.12,3554531514.25,3763877250.792174
77,270008.OF,1083596356.55,990537668.15,938505417.23,847103858.63,1028183037.07,968095302.22,887703320.37,900310091.31,772200495.12,825151386.95,910688056.37,990325681.97,1056802600.76,1185646141.5,927054133.44,942721424.78,808482748.77,830932977.28,710927919.39,786215788.39,912548573.17,851995249.13,864348075.95,913916361.0652174
78,270021.OF,969574284.2,955985910.04,871455345.8,744737450.98,1040076853.05,1097739647.21,1372637637.59,1563229484.43,1836160303.31,2077972873.59,1693138627.91,2051975361.02,1856855107.4,2574800184.29,2537883975.27,2966549200.32,2360639016.65,2251712812.94,1757508612.92,1860451837.3,1952217162.97,1755203993.04,1573950414.11,1727063308.536522
79,270022.OF,299422475.55,283425663.43,252094364.04,212634296.84,329507561.0,478683964.71,556111809.2,1055012369.05,954741792.94,1245051022.38,1218778008.18,1677878887.57,1860055990.84,2067836166.05,1916769941.57,1770506832.52,1579533923.05,1281202920.13,1349901397.55,981495447.77,943058947.62,945892715.61,895870244.57,1050237684.442174
80,270025.OF,4033866552.1,2819942447.44,2329679155.51,1626201097.82,1622337952.03,1593261913.67,1493077644.7,1426531766.73,1232252412.21,1308309103.0,1263149922.85,1269012758.51,1140762197.87,1039424277.32,1051934974.63,1305704825.72,1110165164.38,1132957252.76,994817318.68,1094354249.61,1359593977.11,1237488363.17,1287742946.75,1511850794.5465217
81,270028.OF,586556233.79,480282753.72,445421764.71,384394063.72,524884646.8,474765016.56,516897086.74,567541101.8,729752906.32,895393633.98,1041434719.31,1300518673.65,901553465.44,1001878982.36,1463472753.26,2768847685.87,2295357262.95,3092706136.5,3857857452.97,5339036468.96,4811832868.08,4501649222.61,3656899611.1,1810388457.0086956
82,270041.OF,719341329.81,882753335.89,732912558.4,616994527.18,665349398.13,655681029.05,548391138.99,596878993.4,552847328.25,680298263.57,747180166.36,872271801.53,652583118.73,501962311.17,440705587.93,462312723.23,362654706.21,443478932.14,436791076.54,427010116.76,387531213.53,331713960.05,320933224.67,566894645.2834781
