,thscode,ths_stock_mv_to_fanv_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
31,202011.OF,78.356290105516,81.073419442086,76.768041291198,73.029039394526,80.54030431714,82.59013655782,72.857395708799,87.177815289386,85.430306160896,94.122545130051,86.583336057442,88.528462989536,87.538118482267,85.280508668828,87.436277570387,93.43794630961,84.076515492271,86.978787476839,83.484634006344,83.592815485173,85.250154582312,90.756925780331,94.106038066816,84.73894845067713
32,202023.OF,72.771404268657,73.975775631909,70.455949805898,67.176647736178,77.397039878128,76.029914955886,73.901822241098,74.915360379218,72.313617254813,70.935041894101,69.586017378163,72.376699893795,69.700363549608,68.915519548796,70.173293009158,64.24614042067,61.766969883797,65.813623948941,73.423689866389,74.132992061162,77.95483231082,74.898046925489,74.526234473463,71.62552162244074
33,202101.OF,32.131981259954,27.419679943661,30.366198466655,25.879339274592,31.228460808877,27.305464758403,25.484887689511,22.622251405365,28.318355253799,30.406774894386,24.781152587191,27.319271175245,26.224999365544,24.614078039381,26.537807766348,27.821003072745,28.23412773332,29.346178503348,28.98903789856,29.798335117127,34.14043354381,33.603915102427,33.901953808736,28.542421194303692
34,202212.OF,67.902368436075,64.919028649024,74.96853876055,66.383372421483,72.068934272783,73.87231693178,77.302926197572,78.638297027663,77.230841043639,76.57159518523,76.604620914963,78.309124770747,68.872180543641,73.280271709794,71.532173688041,76.931206623764,76.172512043067,77.982501983896,76.64549347811,74.972465935068,78.080875354954,76.88606752464,76.279377881408,74.45248223382139
35,202213.OF,,,,,10.036645322469,56.656874594307,72.017186885952,75.664324833879,64.858798328046,75.077674371872,66.831655711859,72.242169632017,59.629273639637,73.884025207473,62.949695431473,66.199242765311,45.891177146192,70.288885192916,62.817561433743,70.130802844137,73.424343896821,66.650975325099,63.065717453207,63.59563315875842
36,202801.OF,31.118101778431,30.771624837875,31.183102269307,31.450329676399,28.158550364916,30.393458251419,30.539186834659,31.321151052459,31.009727126485,31.571993595033,29.668897197143,31.365104554494,30.742831164415,29.64290061294,31.194485497629,30.755717844678,28.818884794385,31.934235489881,29.516806863198,32.643587500939,29.407954430989,28.990161163866,30.068180860624,30.533346685311475
37,206009.OF,78.422827554672,72.472601346608,81.194117862216,75.586564198445,75.273196651947,81.176609856096,85.054580777162,81.713858554894,80.938503979305,82.100261515465,83.80436261172,89.351400959635,91.258991716297,89.967322449671,87.10088108474,89.993913381969,90.170616766747,90.225913772292,89.213846524483,92.636990654477,90.210390742475,91.988657615983,92.767990281821,85.33149568952696
38,210003.OF,87.500646683107,88.496811602357,87.981461270552,84.0953780937,84.912383993991,85.682733057518,74.37073908896,91.466289373053,90.856448627416,90.10769056231,92.345406595443,88.404839848028,88.622268984584,89.094799494359,88.874744206577,85.57057924985,88.019566292327,87.456057501365,82.520848574077,86.97277048956,91.430322871645,85.49919288913,86.074689469827,87.23289864433636
39,210006.OF,11.106769446199,10.632128489622,11.084422404768,4.2453765898005,,19.849000310819,19.384562544934,17.548524978747,28.346420860269,25.175755756655,24.580045792126,22.679624655334,24.323685408182,25.109734579104,21.363693620626,24.329822392712,22.577798219088,24.209498380074,28.035609158906,20.845591991061,11.397440112566,20.51361602576,30.46098481185,20.354550296781934
40,210008.OF,93.905124520213,88.342341454465,93.982854333296,93.22937540393,94.750007752338,82.507124097876,94.566085031026,91.287294983409,93.985307693616,90.274078949258,94.800748338963,93.805379769371,86.847217509851,94.855862163954,94.557862196481,94.736737291737,93.37136104443,94.261317323623,94.386859792453,95.070029711113,94.46598059134,94.513964914588,93.510641873425,92.87015464090244
41,210009.OF,79.558472483546,71.269077064338,68.756822688305,71.334031991083,80.363660407171,84.599297783469,93.723490266895,94.372380407001,94.102191149244,92.419411012016,94.660203411208,90.930839981389,92.598710103218,93.776220468715,93.65546823168,90.266789760715,94.957025371217,93.138618091447,93.421010465678,91.780953848169,92.541650572358,93.00687384945,94.347487867704,88.67742118591373
42,210010.OF,13.789040931846,13.331749378447,15.681666653523,21.634470582941,18.591685201738,17.881426612312,21.2249721499,24.034818706733,23.472539324624,31.642022489721,28.950843255397,25.262227805082,24.46036546731,23.330958696613,22.800310450337,23.747129638987,23.334860430967,25.08368189992,24.78160108926,32.331793408218,34.030332877971,33.553901956497,38.864243354257,24.426810537504394
43,213003.OF,88.949113093959,78.808354655158,90.385436767144,88.18074438027,87.358413829063,89.114229987219,89.840660366391,88.079230461063,89.453596905302,90.970324521597,89.325817630317,91.573720918237,91.632337559247,87.516074037169,90.729267555498,91.844961336984,94.382088364895,90.165929119653,90.738438044495,91.659253098656,91.31545792714,90.337916072491,92.873399949628,89.79281593832937
44,217002.OF,41.28554967647,41.346749764452,52.753491095417,51.089865691955,46.765067498136,49.722371021984,54.539053264835,47.416623602253,49.716103743639,46.812362449752,45.256182525893,47.0159077161,46.514305611471,40.217924163103,46.582064036651,47.491976893906,49.929412311789,47.792722060827,49.423118705085,49.535598539193,52.676484650535,49.709281473913,51.302859101711,48.03891633039434
45,217005.OF,65.819413229973,67.172458998548,58.350137492303,61.655460963153,70.376243677745,65.665017802924,67.288502354123,69.073476966166,63.585318083687,74.212047484244,64.724445647448,67.478747649693,64.684677294368,65.741675208138,71.795204023265,74.588956234401,74.923706015718,77.181345953605,74.731734580409,72.345307054648,77.222050999208,77.914171418059,75.320075562176,69.64565976930443
46,217009.OF,83.623246777187,81.834666921935,90.213358081951,77.859969682001,83.151289605814,84.561928731836,84.30729712242,87.737240363805,88.28342030857,89.829579618896,91.203365732178,90.218075261169,85.519920813304,84.690559369059,83.763319500144,81.402348719115,82.514477444047,81.806911267671,79.526107483857,84.620409112075,85.547125619879,83.614651305826,88.324994766836,84.96322885259022
47,217010.OF,83.528815487738,83.643589346293,89.796888126235,79.325694868845,84.099639354293,85.841069535374,87.566937211458,88.860057632638,86.913467645926,89.559333696018,89.693928206183,88.699412491924,84.549579134277,81.537971734848,83.053092497128,81.269770569666,84.383336389772,87.133253937996,78.944853243045,86.276630159073,88.67589753778,86.612023307111,90.37539415305,85.66698418550743
48,217012.OF,76.256488813242,81.841770329205,72.493617065062,74.289685901987,78.546358910001,87.656547775826,74.369438743504,90.452914102384,89.639873052189,88.054745045011,91.278900683592,93.52903123985,86.738893133268,92.142715889436,88.335295194719,91.403966209518,80.772744608494,91.122405475464,89.411004589562,86.517568738867,79.762040304428,95.062978516528,70.031298570727,84.77001229968972
49,217013.OF,76.399399099969,80.427903183841,74.0850696487,75.202544675505,80.677396688497,87.009371741493,86.600658147005,89.775780606035,81.05324268328,91.113373849364,88.206277901215,90.78857667597,82.363272613245,88.987840957256,82.587134569674,89.433291874048,83.363182137286,83.89105158218,80.728108557082,86.607928885145,87.016689678305,83.2484405238,83.797592029764,84.05930992646343
50,217020.OF,73.949283723544,74.766064284163,79.96597566995,80.14337132351,80.273555785694,80.134479594843,79.900491290125,79.921336200733,80.306341562609,80.500361711521,80.03084106802,79.857644288885,80.157995362107,80.800626695339,79.966247331246,80.045794047036,80.468212482282,80.372156188472,80.153277164033,80.107454035288,80.097528782048,80.173359958725,78.985021429588,79.61206173825047
51,229002.OF,93.045678418995,89.378095355235,86.967766835035,92.216115770307,91.435874235669,93.160782311465,91.869371802282,93.094228863111,91.013105571868,91.503088069256,88.286129100345,92.797979418449,88.678387968129,91.213004480118,88.923415779403,93.141589787357,92.325979662279,92.370125433944,91.901518655013,91.929705084789,92.972205180219,91.485159920096,92.154270656925,91.38537297218647
52,233006.OF,84.811195244363,90.752522831749,89.101253657565,81.965812695693,94.281769294167,92.785853134592,92.844338825961,93.293042894992,91.24027396414,92.412725233795,93.604378729869,94.392788567496,94.579217797662,93.086673529654,94.441617811704,94.227093430291,94.414886100179,94.346290581617,94.237468113911,93.544044206573,94.414350235925,94.456934522874,94.740785266214,92.52066594221678
53,233007.OF,76.083213406314,78.043767566694,92.060531166506,69.59305574613,86.17702005884,90.450586478279,90.629331617015,88.381795310798,90.626164357086,90.630903244443,92.963701464515,93.250605018302,93.58367134233,91.274514380766,90.818080901295,92.495855256694,92.502246933431,94.189342738071,94.204961140644,86.939724688256,84.595486146696,92.288143604211,89.844170786388,88.76638579798713
