,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
239,004601.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
240,004614.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
241,004637.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
242,004655.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
243,004672.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
244,004689.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
245,004705.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
246,004722.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
247,004728.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
248,004736.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
249,004797.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
250,004821.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
251,004859.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
252,004882.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
253,004887.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
254,004899.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
255,004910.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
256,004911.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
257,004919.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
258,004920.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
259,004923.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
260,004940.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
261,004956.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
262,004978.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
263,005024.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
264,005072.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
265,005073.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
266,005124.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
267,005171.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
268,005307.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
