,thscode,久期标签20230930,久期标签20230630,久期标签20230331,久期标签20221231,久期标签20220930,久期标签20220630,Duration
243,005841.OF,短,中,短,短,中,短,轮动基金
244,100066.OF,短,短,短,长,中,长,轮动基金
245,002143.OF,短,中,长,长,长,长,轮动基金
246,005879.OF,短,短,中,中,短,中,轮动基金
247,000032.OF,短,长,中,中,长,长,轮动基金
248,000355.OF,短,短,短,短,短,中,轮动基金
249,001961.OF,短,中,中,中,短,中,轮动基金
250,004705.OF,短,短,中,中,长,长,轮动基金
251,001545.OF,短,短,短,短,短,短,稳定短
252,002447.OF,短,中,中,中,长,中,轮动基金
253,000111.OF,短,短,短,短,中,短,轮动基金
254,002755.OF,短,中,中,中,中,中,轮动基金
255,005784.OF,短,中,长,长,中,中,轮动基金
256,004031.OF,短,短,短,短,短,中,轮动基金
257,002445.OF,短,中,长,中,中,长,轮动基金
258,005772.OF,短,短,中,中,中,中,轮动基金
259,005383.OF,短,短,中,长,长,中,轮动基金
260,005740.OF,短,长,长,长,长,中,轮动基金
261,005781.OF,短,短,短,短,短,中,轮动基金
262,006112.OF,短,长,长,长,长,长,轮动基金
263,004910.OF,短,中,中,中,短,中,轮动基金
264,004061.OF,短,短,中,中,中,长,轮动基金
265,002781.OF,短,中,长,长,长,中,轮动基金
266,100058.OF,短,短,短,中,短,短,轮动基金
267,005435.OF,短,短,中,中,中,中,轮动基金
268,005590.OF,短,中,长,长,长,长,轮动基金
269,006360.OF,短,短,短,短,短,短,稳定短
270,002994.OF,短,长,长,长,长,短,轮动基金
271,005845.OF,短,短,短,短,中,中,轮动基金
272,005853.OF,短,短,短,短,短,中,轮动基金
273,160602.OF,短,短,短,短,短,中,轮动基金
274,003746.OF,短,短,中,中,中,长,轮动基金
275,160515.SZ,短,长,中,长,长,中,轮动基金
276,003258.OF,短,短,中,短,中,长,轮动基金
277,004030.OF,短,短,短,短,短,中,轮动基金
278,005322.OF,短,短,短,中,中,中,轮动基金
279,004672.OF,短,短,短,短,短,短,稳定短
280,000265.OF,短,中,长,长,长,中,轮动基金
281,004126.OF,短,中,长,长,长,长,轮动基金
282,004020.OF,短,短,中,中,中,长,轮动基金
283,003260.OF,短,长,中,长,中,长,轮动基金
284,004388.OF,短,中,中,短,短,中,轮动基金
285,002904.OF,短,短,短,中,中,中,轮动基金
286,004956.OF,短,短,短,短,短,长,轮动基金
287,004052.OF,短,短,短,短,短,短,稳定短
288,004920.OF,短,短,短,中,短,短,轮动基金
289,002301.OF,短,短,短,短,短,短,稳定短
290,006150.OF,短,短,短,短,短,短,稳定短
291,004736.OF,短,短,短,中,短,短,轮动基金
292,261001.OF,短,短,短,中,中,短,轮动基金
293,004887.OF,短,短,短,短,短,短,稳定短
294,005684.OF,短,中,短,短,长,短,轮动基金
295,000295.OF,短,短,短,短,短,短,稳定短
296,005307.OF,短,短,短,短,短,短,稳定短
297,003428.OF,短,短,短,中,短,短,轮动基金
298,003660.OF,短,短,短,中,中,长,轮动基金
299,002578.OF,短,短,短,中,短,中,轮动基金
300,003280.OF,短,短,中,短,短,中,轮动基金
301,000207.OF,短,短,短,短,短,短,稳定短
302,006029.OF,短,短,短,短,短,短,稳定短
303,000346.OF,短,短,短,短,短,中,轮动基金
304,006076.OF,短,短,短,短,中,短,轮动基金
305,003290.OF,短,短,短,短,中,长,轮动基金
306,519328.OF,短,短,短,中,中,中,轮动基金
307,000914.OF,短,长,长,中,中,中,轮动基金
308,005754.OF,短,短,短,短,短,短,稳定短
309,000139.OF,短,短,短,短,短,短,稳定短
310,000005.OF,短,中,长,短,中,短,轮动基金
311,002483.OF,短,短,短,短,长,中,轮动基金
312,001368.OF,短,短,短,短,短,短,稳定短
313,004544.OF,短,短,短,短,短,短,稳定短
314,270043.OF,短,短,短,短,短,短,稳定短
315,000799.OF,短,短,短,短,短,短,稳定短
316,005972.OF,短,短,中,中,中,中,轮动基金
317,960040.OF,短,短,短,短,短,短,稳定短
318,H000355.OF,短,短,短,短,短,短,稳定短
319,H202108.OF,短,短,短,短,短,短,稳定短
320,H217003.OF,短,短,短,短,短,短,稳定短
