,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
1872,006088.OF,006088,永赢润益债券A,永赢基金,章成,中长期纯债券型基金,1339425670.09,A,纯债基金
1879,006097.OF,006097,平安高等级债A,平安基金,欧阳亮,混合债券型基金(一级),959507670.65,A,纯债基金
1882,006107.OF,006107,招商添利6个月定开债发起式A,招商基金,"刘万锋,康晶",中长期纯债券型基金,8023536167.19,A,纯债基金
1884,006112.OF,006112,易方达恒惠定开债券发起式,易方达基金,李一硕,中长期纯债券型基金,617470619.09,,纯债基金
1887,006116.OF,006116,国泰丰祺纯债债券A,国泰基金,"胡智磊,索峰",中长期纯债券型基金,6836314109.19,A,纯债基金
1888,006120.OF,006120,国联聚明定期开放债券,国联基金,"王玥,石霄蒙",混合债券型基金(一级),1963404090.62,,纯债基金
1891,006137.OF,006137,广发汇立定期开放债券,广发基金,赵子良,中长期纯债券型基金,4114299320.66,,纯债基金
1900,006150.OF,006150,招商添利两年债券,招商基金,"马龙,李家辉",混合债券型基金(一级),503137936.06,,纯债基金
1901,006151.OF,006151,南方交元债券,南方基金,"陈霜阳,李璇",中长期纯债券型基金,4082225559.29,,纯债基金
1906,006169.OF,006169,工银瑞福纯债债券A,工银瑞信,李娜,中长期纯债券型基金,23742070.29,A,纯债基金
1908,006171.OF,006171,鹏扬淳利定期开放债券,鹏扬基金,"陈钟闻,王莹莹",中长期纯债券型基金,774377901.18,,纯债基金
1909,006172.OF,006172,万家鑫悦纯债A,万家基金,周潜玮,中长期纯债券型基金,3439791171.86,A,纯债基金
1921,006191.OF,006191,华夏鼎通债券A,华夏基金,吴彬,中长期纯债券型基金,7618035995.66,A,纯债基金
1938,006275.OF,006275,永赢聚益债券A,永赢基金,徐沛琳,中长期纯债券型基金,2097762981.21,A,纯债基金
1942,006287.OF,006287,永赢盛益债券A,永赢基金,章成,中长期纯债券型基金,6778638457.45,A,纯债基金
1948,006319.OF,006319,易方达安瑞短债债券A,易方达基金,"王晓晨,石大怿",短期纯债券型基金,4509800653.16,A,纯债基金
1950,006325.OF,006325,招商添荣3个月定开债发起式A,招商基金,康晶,中长期纯债券型基金,7233082918.01,A,纯债基金
1953,006332.OF,006332,招商金鸿债券A,招商基金,黄晓婷,中长期纯债券型基金,369358018.92,A,纯债基金
1958,006360.OF,006360,财通资管鸿益中短债债券A,财通证券资管,李杰,短期纯债券型基金,8586322989.0,A,纯债基金
1960,006367.OF,006367,交银裕祥纯债债券A,交银施罗德,季参平,中长期纯债券型基金,4011731259.09,A,纯债基金
1962,006378.OF,006378,广发汇宏6个月定开债,广发基金,赵子良,中长期纯债券型基金,3741184805.18,,纯债基金
1969,006393.OF,006393,招商添德3个月定开债A,招商基金,黄晓婷,中长期纯债券型基金,3036484695.23,A,纯债基金
1973,006405.OF,006405,华富恒盛纯债债券A,华富基金,倪莉莎,中长期纯债券型基金,663496048.14,A,纯债基金
1977,006411.OF,006411,中加颐智纯债债券,中加基金,王霈,中长期纯债券型基金,996312634.45,,纯债基金
1982,006421.OF,006421,中银弘享债券A,中银基金,易芳菲,中长期纯债券型基金,1915780680.65,A,纯债基金
1985,006427.OF,006427,招商添悦纯债A,招商基金,刘万锋,中长期纯债券型基金,8211262708.58,A,纯债基金
1989,006434.OF,006434,鹏华3个月中短债A,鹏华基金,"王康佳,张佳蕾",短期纯债券型基金,1345360376.64,A,纯债基金
1990,006436.OF,006436,浦银中短债A,浦银安盛基金,曹治国,短期纯债券型基金,2924961684.5,A,纯债基金
1994,006450.OF,006450,嘉实致盈债券,嘉实基金,"张文佳,王立芹",混合债券型基金(一级),3932766755.51,,纯债基金
2002,006464.OF,006464,浦银普益A,浦银安盛基金,章潇枫,中长期纯债券型基金,1622534184.38,A,纯债基金
2006,006468.OF,006468,嘉实稳联纯债债券,嘉实基金,李金灿,中长期纯债券型基金,1173749030.12,,纯债基金
2018,006489.OF,006489,招商添裕纯债A,招商基金,"向霈,马龙",中长期纯债券型基金,5576010611.07,A,纯债基金
2029,006504.OF,006504,广发汇承定期开放债券,广发基金,宋倩倩,中长期纯债券型基金,360820493.74,,纯债基金
2039,006517.OF,006517,南方吉元短债A,南方基金,黄斌斌,短期纯债券型基金,622508557.32,A,纯债基金
2050,006552.OF,006552,广发汇兴3个月定期开放债券,广发基金,赵子良,中长期纯债券型基金,513402507.41,,纯债基金
2057,006570.OF,006570,中金金元A,中金基金,"董珊珊,闫雯雯",混合债券型基金(一级),8264401408.01,A,纯债基金
2062,006582.OF,006582,博时富永3个月定开债发起式,博时基金,李秋实,中长期纯债券型基金,2533012617.76,,纯债基金
2065,006591.OF,006591,广发景明中短债A,广发基金,宋倩倩,短期纯债券型基金,17689770415.17,A,纯债基金
2068,006597.OF,006597,国泰利享中短债债券A,国泰基金,"陶然,丁士恒",短期纯债券型基金,15723533911.64,A,纯债基金
2070,006599.OF,006599,国寿安保安丰纯债债券,国寿安保基金,李一鸣,混合债券型基金(一级),2004090551.19,,纯债基金
2075,006617.OF,006617,工银瑞泽定开债券,工银瑞信,陈桂都,中长期纯债券型基金,5652066322.36,,纯债基金
2079,006626.OF,006626,山证超短债基金A,山西证券,"缪佳,刘凌云",短期纯债券型基金,14473792843.02,A,纯债基金
2081,006629.OF,006629,招商鑫悦中短债A,招商基金,郭敏,短期纯债券型基金,4431753311.44,A,纯债基金
2087,006635.OF,006635,永赢伟益债券,永赢基金,章成,中长期纯债券型基金,1686168769.39,,纯债基金
2095,006646.OF,006646,添富短债债券A,汇添富基金,杨靖,短期纯债券型基金,7923754970.05,A,纯债基金
2098,006653.OF,006653,南方畅利定开债券发起,南方基金,黄斌斌,中长期纯债券型基金,8547103031.72,,纯债基金
2101,006660.OF,006660,永赢昌益债券A,永赢基金,徐沛琳,中长期纯债券型基金,1451015457.39,A,纯债基金
2103,006662.OF,006662,易方达安悦超短债债券A,易方达基金,"梁莹,刘朝阳",短期纯债券型基金,7695066528.72,A,纯债基金
2105,006664.OF,006664,易方达安悦超短债债券F,易方达基金,"梁莹,刘朝阳",短期纯债券型基金,7695066528.72,,纯债基金
2106,006665.OF,006665,华夏鼎康债券A,华夏基金,吴彬,中长期纯债券型基金,6611634871.21,A,纯债基金
2109,006668.OF,006668,华夏中短债债券A,华夏基金,刘明宇,短期纯债券型基金,9581980893.92,A,纯债基金
2118,006683.OF,006683,富国国有企业债债券D,富国基金,张波,中长期纯债券型基金,12043362984.99,,纯债基金
2119,006684.OF,006684,富国信用债债券D,富国基金,"吕春杰,陈倩,黄纪亮",中长期纯债券型基金,18139279969.3,,纯债基金
2122,006707.OF,006707,永赢宏益债券A,永赢基金,谢越,中长期纯债券型基金,1228397661.45,A,纯债基金
2124,006714.OF,006714,博时富源纯债债券A,博时基金,"李秋实,何平",中长期纯债券型基金,1505311424.17,A,纯债基金
2135,006740.OF,006740,工银尊利中短债债券A,工银瑞信,张略钊,短期纯债券型基金,421324169.52,A,纯债基金
2141,006750.OF,006750,富国德利纯债三个月定期开放债券型发起式,富国基金,"刘瀚驰,吕春杰",中长期纯债券型基金,2875442315.67,,纯债基金
