,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
474,007542.OF,中,中,中,中,中,小,轮动基金
475,015581.OF,中,中,中,小,小,小,轮动基金
476,003285.OF,中,中,大,大,大,大,轮动基金
477,013494.OF,中,中,中,大,中,中,轮动基金
478,006852.OF,中,中,中,中,中,中,稳定中
479,013728.OF,中,小,中,中,中,中,轮动基金
480,005836.OF,中,中,大,大,大,中,轮动基金
481,003607.OF,中,大,大,大,中,中,轮动基金
482,016191.OF,中,中,中,小,小,小,轮动基金
483,011655.OF,中,小,中,大,小,小,轮动基金
484,004366.OF,中,小,大,小,中,小,轮动基金
485,519746.OF,中,中,中,大,中,中,轮动基金
486,006646.OF,中,大,中,中,中,中,轮动基金
487,003193.OF,中,中,大,小,小,小,轮动基金
488,014248.OF,中,中,中,中,大,中,轮动基金
489,005842.OF,中,大,大,大,大,大,轮动基金
490,008569.OF,中,中,小,小,小,小,轮动基金
491,016411.OF,中,小,小,小,小,小,轮动基金
492,009021.OF,中,大,中,中,大,中,轮动基金
493,008762.OF,中,小,小,小,小,大,轮动基金
494,006955.OF,中,大,小,小,小,小,轮动基金
495,005972.OF,中,中,小,中,中,中,轮动基金
496,002524.OF,中,中,中,中,中,中,稳定中
497,519225.OF,中,中,中,大,小,中,轮动基金
498,005709.OF,中,中,中,小,中,小,轮动基金
499,005631.OF,中,小,中,中,中,中,轮动基金
500,004032.OF,中,大,大,大,大,大,轮动基金
501,006116.OF,中,大,大,中,中,中,轮动基金
502,008650.OF,中,大,小,小,小,小,轮动基金
503,006504.OF,中,中,中,中,大,大,轮动基金
504,004230.OF,中,中,小,小,大,中,轮动基金
505,010254.OF,中,小,小,中,小,中,轮动基金
506,005336.OF,中,中,中,大,大,中,轮动基金
507,011961.OF,中,中,中,中,中,大,轮动基金
508,010836.OF,中,大,中,中,中,大,轮动基金
509,017671.OF,中,中,小,小,小,小,轮动基金
510,050106.OF,中,中,小,中,中,中,轮动基金
511,005364.OF,中,中,中,中,中,中,稳定中
512,008761.OF,中,小,小,中,大,中,轮动基金
513,100066.OF,中,中,中,中,中,大,轮动基金
514,001619.OF,中,大,中,小,中,中,轮动基金
515,040040.OF,中,小,中,小,中,大,轮动基金
516,070037.OF,中,中,大,大,中,大,轮动基金
517,007915.OF,中,小,中,大,大,中,轮动基金
518,006874.OF,中,中,大,中,中,中,轮动基金
519,015834.OF,中,中,中,中,小,小,轮动基金
520,004030.OF,中,大,大,大,大,中,轮动基金
521,007958.OF,中,中,大,中,大,大,轮动基金
522,007213.OF,中,中,小,小,中,中,轮动基金
523,000186.OF,中,中,中,小,中,中,轮动基金
524,000187.OF,中,中,中,小,中,大,轮动基金
525,012242.OF,中,小,中,小,小,小,轮动基金
526,017812.OF,中,小,小,小,小,小,轮动基金
527,016674.OF,中,中,小,小,小,小,轮动基金
528,016799.OF,中,中,小,小,小,小,轮动基金
