,thscode,ths_jjggbl_fund
505,007681.OF,120.8543565576
506,007682.OF,163.16376075059
507,007691.OF,134.73445510822
508,007692.OF,133.66464725598
509,007706.OF,114.93519411873
510,007714.OF,125.92390599033
511,007716.OF,122.05379689867
512,007717.OF,117.9037014394
513,007723.OF,163.8994232713
514,007740.OF,100.80844061368
515,007744.OF,102.95168068399
516,007754.OF,112.16738978112
517,007758.OF,102.03657342816
518,007761.OF,100.03535769063
519,007762.OF,102.02877494412
520,007772.OF,100.04073521743
521,007823.OF,115.7492126284
522,007828.OF,115.89214564609
523,007830.OF,
524,007836.OF,154.62176618288
525,007852.OF,138.59115158115
526,007867.OF,150.92291645697
527,007870.OF,106.56201759709
528,007871.OF,100.04932872602
529,007888.OF,135.18706997292
530,007915.OF,127.42229380443
531,007928.OF,136.97877785386
532,007930.OF,130.58108908604
533,007935.OF,109.37009274724
534,007948.OF,113.03306694172
535,007949.OF,100.04082488732
536,007953.OF,100.24005561227
537,007954.OF,113.38541944269
538,007958.OF,139.43622689116
539,007967.OF,147.8683100561
540,007970.OF,116.94034778501
541,007985.OF,100.05591176225
542,007986.OF,103.45492425996
543,007990.OF,138.19636086305
544,007996.OF,107.61312310171
545,007997.OF,133.33709730622
546,008003.OF,137.64507355682
547,008014.OF,147.37202063273
548,008017.OF,132.35210290692
549,008018.OF,138.34457538461
550,008022.OF,109.51511596202
551,008027.OF,161.4259706239
552,008030.OF,121.41753277801
553,008031.OF,108.31005857414
554,008032.OF,136.99137193167
555,008102.OF,175.86214714288
556,008104.OF,
557,008117.OF,142.97432694149
558,008130.OF,137.90921648767
559,008139.OF,106.09341066039
560,008170.OF,137.86716408787
561,008204.OF,111.88869619832
562,008207.OF,109.62670569103
563,008214.OF,144.05540833762
564,008217.OF,131.21048527475
565,008219.OF,133.72338000758
566,008223.OF,148.34839834973
567,008229.OF,119.7826008606
568,008231.OF,106.67489324901
569,008242.OF,107.20877422616
570,008266.OF,104.48434316907
571,008278.OF,109.90321415417
572,008302.OF,126.19043411338
573,008316.OF,180.7918500921
574,008338.OF,145.94854461979
575,008349.OF,140.81166382674
576,008352.OF,108.31603258656
