,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
434,398011.OF,45.442500543503
435,398021.OF,54.750509047446
436,398061.OF,57.153384440395
437,400001.OF,56.226324671512
438,400007.OF,40.635680763339
439,400025.OF,53.835426640849
440,410003.OF,64.006081632395
441,410007.OF,59.75639947673
442,420001.OF,51.367444683704
443,420003.OF,66.737461883318
444,420005.OF,75.526096386014
445,450002.OF,52.642386599826
446,450003.OF,52.997588703734
447,450004.OF,29.16580824958
448,460001.OF,71.726029350765
449,460007.OF,68.550481225688
450,460009.OF,11.649016608326
451,470006.OF,63.591783469028
452,470008.OF,41.79940297664
453,470009.OF,45.9847647803
454,481001.OF,46.888289984859
455,481004.OF,59.38475830039
456,481006.OF,43.147269363983
457,481008.OF,41.879396774908
458,481013.OF,48.298209181568
459,487021.OF,41.813235706225
460,519001.OF,47.032057379539
461,519002.OF,36.877354851673
462,519003.OF,35.358372407034
463,519005.OF,61.177942015005
464,519008.OF,50.705822170545
465,519011.OF,69.327278070744
466,519015.OF,69.108688723686
467,519017.OF,49.401444035971
468,519018.OF,38.673313755757
469,519020.OF,72.346152242107
470,519021.OF,57.000137351657
471,519025.OF,32.977008543912
472,519026.OF,55.436599795649
473,519029.OF,56.273191731473
474,519035.OF,49.736260782702
475,519069.OF,47.2323629698
476,519087.OF,60.502115448339
477,519089.OF,57.002528711754
478,519093.OF,58.043279123911
479,519133.OF,28.450327672094
480,519139.OF,49.723737779403
481,519181.OF,80.832816033624
482,519195.OF,75.010766539878
483,519196.OF,75.894083644753
484,519224.OF,26.41249944565
485,519621.OF,58.144746737442
486,519651.OF,61.554621273025
487,519664.OF,70.005761810766
488,519668.OF,56.413328290923
489,519672.OF,64.829865905153
490,519674.OF,81.26070540227
491,519688.OF,64.074150531254
492,519690.OF,56.648310292755
493,519692.OF,78.343387512522
494,519694.OF,78.5588375361
495,519696.OF,
496,519704.OF,50.052223936486
497,519710.OF,83.045407687413
498,519712.OF,64.426771899779
499,519727.OF,78.830109084039
500,519736.OF,64.118663121429
501,519756.OF,45.847051183115
502,519767.OF,49.932697648566
503,519773.OF,61.442304861788
504,519908.OF,49.633819839748
505,519915.OF,67.130663909231
506,519929.OF,55.934827718217
507,519983.OF,23.767611875412
508,519991.OF,53.339367959526
509,519995.OF,34.863039211058
510,530001.OF,50.361808303704
511,530003.OF,81.076422024679
512,530006.OF,82.970885969064
513,550001.OF,41.419536958654
514,550002.OF,42.484133030127
515,550003.OF,33.82253686468
516,550008.OF,39.904381519781
