,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
205,004122.OF,兴银长益三个月定开债,范泰奇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
206,004126.OF,浦银安盛稳健增利债券(LOF)A,章潇枫,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
207,004127.OF,鹏华丰康债券A,"杜培俊,应琛,祝松",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
208,004136.OF,博时民泽纯债债券,倪玉娟,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
209,004140.OF,兴业福鑫债券,伍方方,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
210,004141.OF,兴业瑞丰6个月定开债券,冯小波,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
211,004200.OF,博时富瑞纯债债券A,倪玉娟,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
212,004230.OF,永赢添益债券,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
213,004238.OF,永赢瑞益债券A,"余国豪,杨凡颖",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
214,004307.OF,博时富元纯债债券,"王帅,李汉楠",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
