,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
644,009235.OF,景顺长城弘远66个月定期开放债券,何江波,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
645,009237.OF,兴业绿色纯债一年定开债券A,冯小波,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
646,009252.OF,蜂巢添元纯债A,金之洁,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
647,009254.OF,蜂巢添禧87个月定开,"李海涛,金之洁",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
648,009257.OF,工银尊利中短债债券F,张略钊,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
649,009271.OF,博时信用优选债券A,于渤洋,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
650,009284.OF,上银慧丰利债券,"许佳,高永",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
651,009289.OF,富国长江经济带纯债债券,"吕春杰,张洋",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
652,009290.OF,富国添享一年持有期债券A,武磊,混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,稳定信用债
653,009292.OF,易方达年年恒春纯债一年定开发起式A,李一硕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
654,009294.OF,嘉实致益纯债债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
655,009298.OF,英大安惠纯债A,"张婧珣,张大铮,易祺坤",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
656,009306.OF,平安惠铭纯债,"李瑾懿,张文平",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
657,009309.OF,国寿安保尊庆6个月持有期债券A,卢珊,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,
658,009338.OF,万家民瑞祥和6个月持有期债券A,"周潜玮,周慧",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
659,009343.OF,泰康长江经济带债券A,经惠云,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
660,009356.OF,博时季季乐持有期债券A,"李更,倪玉娟",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
661,009417.OF,国投瑞银顺荣债券A,李鸥,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
662,009450.OF,中金新辉1年,董珊珊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
663,009453.OF,平安合兴1年定开债,"张璐,段玮婧",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
664,009483.OF,鹏华普利债券A,刘涛,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
665,009577.OF,上银聚永益一年定开债券,"许佳,楼昕宇",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
666,009578.OF,上银聚德益一年定开债券,许佳,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
667,009580.OF,招商双债增强(LOF)D,刘万锋,混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,
668,009583.OF,淳厚安裕87个月定开债,江文军,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
669,009587.OF,国寿安保瑞和纯债66个月定期开放债券,丁宇佳,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
670,009599.OF,嘉实致嘉纯债债券,轩璇,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
671,009600.OF,嘉实安泽一年定期纯债债券,"赵国英,王立芹",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
672,009632.OF,浦银安盛普嘉87个月定开债券A,李羿,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
673,009643.OF,嘉实致信一年定期纯债债券,轩璇,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
674,009655.OF,工银尊益中短债债券A,谷衡,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
675,009666.OF,兴全恒祥88个月定开债券,季伟杰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
676,009685.OF,景顺长城景泰宝利一年定期开放纯债发起式,"何江波,赵天彤",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
677,009711.OF,招商添盛78个月定开债,黄晓婷,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
678,009732.OF,兴业稳泰66个月定开债券,唐丁祥,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
679,009749.OF,西部利得尊泰86个月定开债券,"刘心峰,李烨",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
680,009770.OF,英大安鑫66个月定期开放债券,"易祺坤,张大铮",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
681,009792.OF,工银瑞益债券A,张略钊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
682,009799.OF,中银证券安汇三年定期开放债券,"王玉玺,曹张琪",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
683,009809.OF,易方达恒智63个月定开债券发起式,藏海涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
684,009831.OF,长城稳利纯债A,吴冰燕,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
685,009851.OF,上银聚远盈42个月定开债券,葛沁沁,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
686,009866.OF,永赢瑞宁87个月定开债,谢越,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
687,009920.OF,鹏华年年红一年持有期债券A,刘涛,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
688,009922.OF,华夏鼎富债券A,吴彬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
689,009933.OF,浦银安盛普华66个月定开债券A,李羿,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
690,009953.OF,华泰柏瑞锦乾债券,罗远航,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
691,010048.OF,平安短债I,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
692,010083.OF,中银欣享利率债,"白洁,刘筱筠",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
693,010084.OF,蜂巢丰瑞债券A,李海涛,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
694,010092.OF,永赢华嘉信用债A,"杨凡颖,曾琬云",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
695,010168.OF,天弘安利短债A,"柴文婷,程仕湘,刘莹",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
696,010191.OF,华夏鼎信债券A,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
697,010232.OF,国寿安保泰安纯债债券,"丁宇佳,李谦",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
698,010254.OF,嘉实丰年一年定期纯债债券A,轩璇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
699,010258.OF,淳厚稳悦A,"张蕊,江文军",混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,
700,010462.OF,中信保诚嘉润66个月定开纯债,臧淑玲,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
701,010471.OF,易方达年年恒实纯债一年定期开放债券型发起式A,李一硕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
702,010477.OF,景顺长城景泰益利纯债债券,彭成军,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
703,010479.OF,鹏华丰颐债券,"刘涛,张丽娟",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
704,010482.OF,汇添富盛和66个月定开债,杨靖,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
705,010485.OF,中航瑞晨87个月定开债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
706,010580.OF,长盛稳鑫63个月债券,王贵君,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
707,010621.OF,永赢泰宁63个月定开债,钱布克,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
708,010627.OF,淳厚安心87个月定开债,"祁洁萍,江文军",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
709,010632.OF,工银瑞达一年定开纯债债券发起式,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
710,010634.OF,天弘合益A,"潘昱杉,程明",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
711,010639.OF,上银聚远鑫87个月定开债券,葛沁沁,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
712,010653.OF,农银金玉债券,郭振宇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
713,010753.OF,招商招旭纯债D,郭敏,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
714,010836.OF,国泰瑞泰纯债债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
715,010946.OF,中银证券汇福定期开放债券,"余亮,王玉玺",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
716,010983.OF,兴银汇泽87个月定开债券,"王深,范泰奇",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
717,011067.OF,财通资管鸿达纯债债券I,"王珊,陈希希",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
718,011079.OF,嘉实致泓一年定期纯债债券,王立芹,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
719,011080.OF,鹏华尊和一年定开发起式债券,邓明明,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
720,011088.OF,景顺长城景泰恒利一年定开债券,彭成军,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
721,011262.OF,华夏鼎英债券A,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
722,011292.OF,招商添裕纯债D,"向霈,马龙",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
723,011294.OF,招商添逸1年定开债,黄晓婷,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
724,011529.OF,上银慧兴盈债券,葛沁沁,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
725,011617.OF,添富AAA级信用纯债E,杨靖,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
726,011655.OF,天弘兴益一年定开,"程明,刘洋,潘昱杉",混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,
727,011683.OF,华夏鼎华一年定开债券,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
728,011699.OF,蜂巢丰华债券A,金之洁,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
729,011719.OF,浦银安盛盛华一年定开债券,曹治国,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
730,011890.OF,中金新璟3个月,董珊珊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
731,011943.OF,工银瑞盛一年定开纯债债券发起式,"李娜,王朔",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
732,011946.OF,建信裕丰利率债三个月定期开放债券A,刘思,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
733,011952.OF,万家悦兴3个月定开债发起式,"石东,周潜玮",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
734,011953.OF,招商招瑞纯债债券发起式D,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
735,011955.OF,招商招祥纯债D,"马龙,王梓林",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
736,011960.OF,兴业嘉福一年定开债券发起式,冯小波,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
737,011961.OF,易方达稳鑫30天滚动短债A,"李一硕,刘琬姝",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
738,011968.OF,农银金盛债券,郭振宇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
739,012101.OF,中金金合,董珊珊,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,
740,012229.OF,华安众鑫90天滚动短债A,"马晓璇,郑如熙",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
741,012242.OF,华安添荣中短债A,"郑如熙,鲍越愚",短期纯债券型基金,稳定小基金公司,稳定长,稳定中,
742,012265.OF,天弘安怡30天滚动持有短债发起式,"王昌俊,程仕湘",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
743,012273.OF,富国汇鑫金融债三个月定期开放债券A,"朱梦娜,朱征星",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
744,012279.OF,嘉实稳和6个月持有期纯债债券A,王亚洲,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
745,012290.OF,国联恒益纯债A,石霄蒙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
746,012352.OF,英大通惠多利债券A,"易祺坤,韩坪",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
747,012356.OF,浦银安盛季季鑫90天滚动持有短债A,曹治国,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
748,012395.OF,兴业60天滚动持有短债A,刘禹含,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
749,012451.OF,国寿安保安恒金融债债券,李一鸣,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
750,012452.OF,国泰利优30天滚动持有短债债券A,陶然,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
751,012465.OF,上银慧嘉利债券,许佳,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
752,012468.OF,中银证券安灏债券A,"曹张琪,余亮",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
753,012489.OF,招商招顺纯债D,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
754,012567.OF,长城久稳债券D,吴冰燕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
755,012580.OF,财通资管鸿安30天滚动持有中短债债券A,"陈希希,周庆",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
756,012591.OF,广发添财180天滚动持有债券A,宋倩倩,混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,
757,012742.OF,工银瑞富一年定开纯债债券发起式,张略钊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
758,012750.OF,上银慧鼎利债券,楼昕宇,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
759,012773.OF,嘉实超短债债券A,李金灿,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
760,012803.OF,国联聚优一年定开债券,石霄蒙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
761,012806.OF,招商添呈1年定开债,黄晓婷,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
762,012823.OF,富国安利90天滚动持有债券A,张波,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
763,012933.OF,易方达稳丰90天滚动持有短债债券A,梁莹,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
764,012941.OF,广发添财90天滚动持有债券A,宋倩倩,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,
765,012948.OF,兴证全球恒利一年定开债券发起式,"邓娟,翟秀华",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
766,013008.OF,淳厚稳宁6个月定开债,"江文军,祁洁萍",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
767,013062.OF,国寿安保安诚纯债一年定开债券,"李一鸣,高鑫",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
768,013065.OF,国泰利泽90天滚动持有中短债债券A,陶然,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
769,013068.OF,博时双月享60天滚动持有债券A,郭思洁,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
770,013075.OF,建信鑫悦90天滚动持有中短债债券发起A,"彭紫云,陈建良",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
771,013077.OF,永赢乾益债券,钱布克,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
772,013087.OF,中加优悦一年定开债券,袁素,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
773,013159.OF,国泰瑞鑫一年定期开放债券发起式,索峰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
774,013206.OF,广发汇宜一年定期开放债券,宋倩倩,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
775,013213.OF,兴业嘉鸿一年定开债券发起式,"雷志强,蔡艳菲",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
776,013216.OF,财通资管鸿启90天滚动持有发起式中短债A,陈希希,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
777,013236.OF,长信30天滚动持有短债债券A,"邹依恩,杜国昊",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
778,013265.OF,鹏扬淳熙一年定开债券发起式,焦翠,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
779,013336.OF,天弘安悦90天滚动持有短债发起,"王昌俊,王顺利",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
780,013351.OF,中加聚安60天滚动持有中短债发起式A,闫沛贤,短期纯债券型基金,稳定小基金公司,稳定中,稳定小,
781,013373.OF,中银证券安业债券A,"余亮,曹张琪",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
782,013375.OF,平安元鑫120天滚动持有中短债A,"欧阳亮,苏宁",混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
783,013391.OF,招商安泰债券D,刘万锋,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,
784,013405.OF,中航瑞旭3个月定开债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
785,013408.OF,蜂巢丰和债券A,李海涛,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
786,013419.OF,交银裕景纯债一年定期开放债券,"季参平,张顺晨",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
787,013456.OF,长盛安逸纯债债券D,王贵君,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
788,013457.OF,华夏鼎业三个月定开债券A,"吴彬,张海静",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
789,013459.OF,华夏稳鑫增利80天债券A,"吴彬,张海静",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,
790,013487.OF,华安领荣一年定开债券发起式,"康钊,林唐宇",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
791,013494.OF,华泰柏瑞锦元债券,罗远航,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
792,013522.OF,华富吉丰60天滚动持有中短债A,"尹培俊,倪莉莎",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
793,013538.OF,鹏华永宁3个月定开债券,"邓明明,杜培俊",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
794,013563.OF,银华季季盈3个月滚动持有债券A,"王树丽,魏昕宇",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
795,013648.OF,长信稳丰债券A,邹依恩,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
796,013654.OF,永赢信利碳中和一年定开债券发起,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
797,013699.OF,永赢安盈90天滚动持有债券发起A,"吴玮,杨凡颖,谢越",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
798,013703.OF,招商添福1年定开债,马龙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
799,013718.OF,兴银稳益30天持有期债券A,王深,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
800,013723.OF,上银聚顺益一年定开债券发起式,"蔡唯峰,楼昕宇",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
801,013728.OF,创金合信恒宁30天滚动持有短债A,"谢创,黄佳祥",混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,
802,013780.OF,华夏鼎丰债券,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
803,013799.OF,财通安裕30天持有期中短债债券A,"罗晓倩,闫梦璇",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
804,013804.OF,财通资管鸿越3个月滚动持有债券A,陈希希,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
805,013808.OF,易方达稳悦120天滚动短债A,"刘琬姝,李一硕",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
806,013821.OF,南方定利一年定开债券,金凌志,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
807,013838.OF,中银恒嘉60天滚动持有短债A,"朱水媚,白洁",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
808,013864.OF,平安元泓30天滚动持有短债A,"刘晓兰,欧阳亮",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
809,013875.OF,鑫元合享纯债D,郭卉,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
810,013901.OF,华安众享180天持有期中短债A,郑如熙,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,
811,013931.OF,博时富恒一年定开债发起式,黄海峰,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
812,013952.OF,工银瑞和3个月定期开放债券A,"张略钊,赵建",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
813,013976.OF,财通资管鸿佳60天滚动持有发起式中短债A,李杰,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
814,014004.OF,博时富璟一年定开债,黄海峰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
815,014012.OF,蜂巢丰吉纯债A,金之洁,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
816,014059.OF,富国安慧短债债券A,"张波,吴旅忠",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
817,014097.OF,鹏扬利鑫60天滚动持有债券A,"黄乐婷,陈钟闻",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
818,014105.OF,长城信利一年定开债券发起式,"魏建,吴冰燕",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
819,014230.OF,国泰瑞丰纯债债券,索峰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
820,014231.OF,国寿安保安锦纯债一年定开债券发起式,卢珊,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
821,014234.OF,永赢轩益债券,章成,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
822,014242.OF,农银悦利债券,郭振宇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
823,014248.OF,兴业一年持有期债券A,"蔡艳菲,周鸣",混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,
824,014250.OF,建信鑫怡90天滚动持有中短债债券A,"徐华婧,陈建良",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
825,014252.OF,华泰柏瑞鸿裕90天滚动持有短债A,"郑青,何子建,王烨斌",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
826,014257.OF,国联恒泽纯债A,石霄蒙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
827,014315.OF,鹏华双季享180天持有期债券A,刘涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
828,014367.OF,招商添悦纯债D,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
829,014392.OF,嘉实致乾纯债债券,"赵国英,崔思维,陈硕",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
830,014435.OF,中航瑞夏一年定开债发起A,"茅勇峰,汪术勤",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
831,014446.OF,鹏华稳瑞中短债,"叶朝明,王康佳",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
832,014452.OF,天弘惠享一年定开债券发起,柴文婷,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
833,014464.OF,交银裕道纯债一年定期开放债券发起,季参平,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
834,014474.OF,中欧安悦一年定开债券发起,LI TONG,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
835,014476.OF,山西证券90天滚动持有短债A,"刘凌云,缪佳",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
836,014480.OF,华夏鼎优债券A,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
837,014504.OF,鹏扬淳开债券D,"王黎骁,陈钟闻",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
838,014517.OF,华夏30天滚动短债债券发起式A,张海静,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
839,014552.OF,中航瑞华ESG一年定开债发起A,"茅勇峰,李祥源",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
840,014638.OF,银华安鑫短债债券D,"王树丽,魏昕宇",短期纯债券型基金,稳定小基金公司,稳定长,稳定大,
841,014714.OF,工银瑞兴一年定开纯债债券发起式,张略钊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
842,014721.OF,富国碳中和一年定期开放债券发起式,"刘瀚驰,吕春杰",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
843,014740.OF,财通资管鸿商中短债A,"陈希希,王珊",短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
844,014778.OF,国寿安保安和纯债,"高鑫,李一鸣",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
845,014815.OF,财通资管鸿慧中短债发起式A,王珊,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
846,014856.OF,建信鑫享短债债券A,"吴沛文,李星佑",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
847,014858.OF,建信鑫享短债债券F,"李星佑,吴沛文",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
848,014952.OF,国泰睿鸿一年定期开放债券发起式,刘嵩扬,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
849,014959.OF,华泰柏瑞益兴三个月定开债券,何子建,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
850,014965.OF,国投瑞银顺和一年定开债发起式,"李鸥,敬夏玺",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
851,014966.OF,永赢坤益债券,"钱布克,谢越",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
852,014973.OF,景顺景泰悦利三个月定开债A,"赵天彤,彭成军",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
853,015018.OF,西部利得双兴一年定开债券发起,"李安然,刘心峰",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
854,015049.OF,招商添安1年定开债,马龙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
855,015081.OF,兴业90天滚动持有中短债A,刘禹含,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
856,015209.OF,华夏鼎成一年定开债券,"孙蕾,张海静",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
857,015255.OF,农银金耀定开债券,王明君,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
858,015260.OF,鹏华永鑫一年定开债券,邓明明,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
859,015263.OF,淳厚稳荣一年定开债发起,"江文军,张蕊",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
860,015301.OF,博时双季乐六个月持有期债券A,张李陵,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
861,015315.OF,富国汇享三个月定期开放债券A,"吕春杰,李金柳,张洋",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
862,015397.OF,博时富鸿金融债3个月定开债,"黄海峰,胥艺",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
863,015423.OF,浦银安盛普裕一年定开债券,章潇枫,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
864,015469.OF,永赢湖北国企债一年定开发起,"杨凡颖,余国豪",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
865,015471.OF,万家鑫橙纯债债券A,"周潜玮,石东",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
