,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,行业标签
211,163807.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
212,160314.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
213,519021.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
214,570008.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
215,519029.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
216,161606.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业轮动基金
217,630010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
218,000264.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
219,070032.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
220,001985.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
221,001857.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
222,410007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
223,519908.OF,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,制造行业基金,行业轮动基金
224,001725.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
225,570001.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
226,001126.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
227,288002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
228,202212.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
229,001468.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,周期行业基金,行业均衡基金,行业轮动基金
230,001832.OF,行业均衡基金,周期行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
231,161706.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
232,001910.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
233,001291.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
234,000017.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
235,003715.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
236,519193.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
237,213003.OF,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
238,000592.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
239,001975.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
240,000457.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
241,202005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
242,410003.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
243,003145.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
244,001028.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
245,377010.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
246,000977.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
247,260101.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
248,000652.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
249,070002.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
250,370027.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
251,340006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
252,001437.OF,行业均衡基金,行业均衡基金,周期行业基金,TMT行业基金,行业均衡基金,TMT行业基金,行业轮动基金
253,100060.OF,行业均衡基金,行业均衡基金,行业均衡基金,TMT行业基金,行业均衡基金,行业均衡基金,行业轮动基金
