,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
151,161903.SZ,万家优选,黄兴亮,蔡立辉(20050715-20070210) 张珣(20060715-20071026) 欧庆铃(20071026-20080927) 鞠英利(20080927-20110706) 吴印(20110608-20141008) 朱颖(20111111-20150212) 马云飞(20120204-20130525) 章恒(20150212-20160123) 莫海波(20150506-20161028) 孙远慧(20160323-20180816) 高源(20180315-20190322) 黄兴亮(20190302-至今),否,混合型基金,偏股混合型基金,9447770536.49,17.969863013699,6.97,93.575560666025,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
152,162006.SZ,长城久富混合(LOF)A,陈良栋,项志群(20070212-20080205) 李硕(20080205-20090305) 徐九龙(20080205-20090305) 韩刚(20090106-20090922) 杨建华(20090922-20160906) 何以广(20160906-20181228) 陈良栋(20181228-至今),否,混合型基金,偏股混合型基金,3370822058.23,16.38904109589,77.42,89.161886087996,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,轮动基金
153,162605.SZ,景顺长城鼎益混合(LOF)A,刘彦春,王新艳(20050316-20090317) 涂强(20090317-20090919) 张继荣(20090919-20150709) 刘彦春(20150710-至今),否,混合型基金,偏股混合型基金,14074692305.93,18.301369863014,0.66,92.540114901996,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
154,162703.SZ,广发小盘成长混合(LOF)A,刘格菘,陈仕德(20050202-20150613) 江涌(20050203-20060526) 李险峰(20150613-20170619) 刘格菘(20170619-至今),否,混合型基金,偏股混合型基金,7709293724.36,18.416438356164,16.16,86.617561818067,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
155,163302.SZ,大摩资源优选混合(LOF),"沈菁,徐达",冀洪涛(20050927-20080426) 何滨(20080425-20130816) 徐强(20110622-20120428) 卞亚军(20130628-20150123) 孙海波(20150110-20160618) 王大鹏(20150122-20170629) 徐达(20160617-至今) 沈菁(20230228-至今),否,混合型基金,灵活配置型基金,472196220.01,17.767123287671,0.35,86.439860560797,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
156,163406.SZ,兴全合润混合,"谢治宇,叶峰",张惠萍(20100422-20130207) 王海涛(20100525-20120221) 谢治宇(20130129-至今) 叶峰(20230104-至今),否,混合型基金,偏股混合型基金,26596647090.02,13.197260273973,3.01,93.462440842355,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
157,163409.SZ,兴全绿色投资混合(LOF),邹欣,陈锦泉(20110506-20150203) 傅鹏博(20110506-20130118) 杨岳斌(20141208-20170713) 邹欣(20170629-至今),否,混合型基金,偏股混合型基金,5955258258.25,12.158904109589,45.37,88.329944131521,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
158,163412.SZ,兴全轻资产混合(LOF),董理,陈扬帆(20120405-20150105) 谢治宇(20141208-20180503) 董理(20171123-至今),否,混合型基金,偏股混合型基金,4619409337.9,11.241095890411,7.2,88.684318644131,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
159,163415.SZ,兴全商业模式混合(LOF),乔迁,董承非(20121218-20131223) 吴圣涛(20121218-20180710) 谢治宇(20150327-20150511) 乔迁(20180710-至今),否,混合型基金,偏股混合型基金,11635024561.27,10.53698630137,7.03,92.86312490784,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
160,163503.SZ,天治核心成长混合(LOF),"许家涵,李申",余明元(20060120-20081101) 吴鹏(20060914-20070413) 吴涛(20080411-20110909) 秦海燕(20101231-20150612) 许家涵(20150602-至今) 李申(20230727-至今),否,混合型基金,偏股混合型基金,337454665.36,17.452054794521,0.19,91.09917720712,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
161,165313.SZ,建信优势动力混合(LOF),姜锋,姜锋(20130319-至今) 万志勇(20130319-20150928),否,混合型基金,偏股混合型基金,574054204.69,10.287671232877,2.78,81.301282404513,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
162,166001.SZ,中欧新趋势混合(LOF)A,周蔚文,殷觅智(20070129-20090720) 王磊(20080902-20100904) 王海(20100902-20120118) 刘水云(20101230-20130228) 周蔚文(20110816-至今) 魏博(20120815-20140110) 林英睿(20150529-20160617),否,混合型基金,偏股混合型基金,3386231276.56,16.427397260274,60.6,88.602365522869,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
163,166006.SZ,中欧行业成长混合(LOF)A,"尹为醇,王培",沈洋(20091230-20120118) 王海(20120118-20140110) 魏博(20140110-20150116) 曹剑飞(20140818-20160408) 李欣(20160108-20190820) 王培(20170726-至今) 尹为醇(20220707-至今),否,混合型基金,偏股混合型基金,2865531234.98,13.506849315068,19.06,91.589424951435,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
164,166009.SZ,中欧新动力混合(LOF)A,王健,苟开红(20110210-20150529) 袁争光(20150529-20170616) 王健(20161103-至今) 孔晓语(20170621-20180919) 许文星(20180416-20230217),否,混合型基金,偏股混合型基金,1515583545.4,12.391780821918,43.48,87.320256831495,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定中
165,166024.SZ,中欧恒利三年定期开放混合,"沈悦,曹名长",曹名长(20171101-至今) 卢博森(20180328-20200731) 沈悦(20200731-至今),否,混合型基金,偏股混合型基金,431605885.48,5.6630136986301,4.38,96.521239998083,稳定行业均衡基金,稳定价值型,稳定小盘,稳定独立基金,稳定中
166,168101.SZ,九泰锐智事件驱动混合(LOF),刘开运,刘开运(20150814-至今),否,混合型基金,灵活配置型基金,52887055.99,7.8821917808219,34.29,87.068626562815,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定中立基金,稳定高
167,168102.SZ,九泰锐富事件驱动混合(LOF)A,"袁多武,刘开运",刘开运(20160204-至今) 刘心任(20181130-20220802) 袁多武(20220817-至今),否,混合型基金,灵活配置型基金,194296453.24,7.4054794520548,55.78,74.953050415074,行业轮动基金,稳定价值型,风格轮动基金,轮动基金,轮动基金
168,501038.SH,银华明择多策略定期开放混合,"倪明,苏静然",李晓星(20170811-20201120) 苏静然(20170811-至今) 倪明(20170811-至今) 张萍(20181106-20200902),否,混合型基金,偏股混合型基金,294498442.17,5.8876712328767,0.48,68.765776799287,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
169,501046.SH,财通福鑫定开混合发起,金梓才,姚思劼(20171023-20190711) 金梓才(20180521-至今) 梁辰(20200914-20220304),否,混合型基金,灵活配置型基金,236450205.78,5.6876712328767,6.6701,89.961435833097,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
170,501049.SH,东方红睿玺三年定开混合A,"王延飞,张伟锋",王延飞(20171115-至今) 张伟锋(20201221-至今),否,混合型基金,灵活配置型基金,13540767238.22,5.6246575342466,0.4,96.098358686641,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定中立基金,轮动基金
171,501051.SH,圆信汇利,邹维,洪流(20171130-20190131) 李明阳(20171205-20211119) 邹维(20190125-至今),否,混合型基金,偏股混合型基金,191227142.44,5.5835616438356,4.04,93.133893346694,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定中
172,000011.OF,华夏大盘精选混合A/B,陈伟彦,蒋征(20040811-20060524) 王亚伟(20051231-20120504) 巩怀志(20120504-20130628) 程海泳(20130628-20130923) 孙彬(20130923-20150227) 任竞辉(20140718-20151015) 佟巍(20150227-20170502) 阳琨(20150901-20170502) 陈伟彦(20170502-至今),否,混合型基金,灵活配置型基金,3981865148.2,18.895890410959,0.69,93.318606615351,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
173,000017.OF,财通可持续混合,夏钦,吴松凯(20130327-20140414) 赵媛媛(20130327-20140414) 赵艰申(20130826-20150716) 金梓才(20150713-20180307) 夏钦(20160511-至今),否,混合型基金,偏股混合型基金,110668393.75,10.265753424658,0.354,89.627132850656,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
