,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
174,000020.OF,景顺长城品质投资混合A,詹成,余广(20130319-20170105) 詹成(20151229-至今),否,混合型基金,偏股混合型基金,525284769.28,10.287671232877,15.5,88.346000117333,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
175,000021.OF,华夏优势增长混合,郑晓辉,张益驰(20061124-20090721) 刘文动(20090721-20120229) 巩怀志(20100116-20130628) 罗泽萍(20120120-20140317) 郑晓辉(20130510-至今) 孙振峰(20130628-20150804) 钱悦(20130628-20151225) 孙轶佳(20151119-20190321) 刘平(20151130-20200728),否,混合型基金,偏股混合型基金,5296691077.53,16.608219178082,1.58,88.350652230265,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,稳定低
176,000031.OF,华夏复兴混合A,周克平,童汀(20070910-20090105) 孙建冬(20080123-20100204) 程海泳(20100204-20130923) 崔同魁(20120716-20150107) 刘金玉(20140117-20170106) 赵航(20150107-20190321) 周克平(20190124-至今),否,混合型基金,偏股混合型基金,2234992305.7,15.813698630137,0.99,93.310798664685,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金
177,000039.OF,农银高增长混合,张燕,曹剑飞(20130326-20140415) 凌晨(20131107-20170321) 张燕(20170321-至今),否,混合型基金,偏股混合型基金,303635863.48,10.268493150685,0.39,93.00709593503,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
178,000083.OF,汇添富消费行业混合,胡昕炜,朱晓亮(20130503-20160408) 胡昕炜(20160408-至今),否,混合型基金,偏股混合型基金,15576903099.03,10.164383561644,2.3,84.982853923476,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
179,000117.OF,广发轮动配置混合,吴兴武,朱纪刚(20130528-20150217) 吴兴武(20150212-至今),否,混合型基金,偏股混合型基金,341364246.89,10.095890410959,0.97,78.697083387461,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
180,000127.OF,农银行业领先混合,张峰,徐莉(20130625-20150612) 赵谦(20150606-20160308) 张峰(20150917-至今),否,混合型基金,偏股混合型基金,841013252.46,10.019178082192,7.04,69.096930551358,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
181,000167.OF,广发聚优灵活配置混合A,张东一,刘明月(20130911-20141224) 唐晓斌(20141224-20180109) 张东一(20160726-至今),否,混合型基金,灵活配置型基金,274327980.39,9.8054794520548,5.14,93.786858983262,行业轮动基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
182,000172.OF,华泰柏瑞量化增强混合A,"田汉卿,徐帅宇",田汉卿(20130802-至今) 徐帅宇(20220805-至今),否,混合型基金,偏股混合型基金,1304988276.26,9.9150684931507,55.14,93.627343620445,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
183,000173.OF,汇添富美丽30混合A,王栩,王栩(20130625-至今),否,混合型基金,偏股混合型基金,1336968454.82,10.019178082192,0.01,91.54337177083,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
184,000242.OF,景顺长城策略精选灵活配置混合A,张靖,王鹏辉(20130807-20150122) 张靖(20141025-至今),否,混合型基金,灵活配置型基金,2536210660.13,9.9013698630137,63.32,88.908777264007,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,轮动基金
185,000251.OF,工银金融地产混合A,鄢耀,王君正(20130826-20220909) 鄢耀(20130826-至今) 甘宗卫(20160927-20190412),否,混合型基金,偏股混合型基金,2811182986.0,9.8493150684932,38.07,91.225744498793,稳定金融地产行业基金,稳定价值型,稳定大盘,稳定中立基金,稳定高
186,000263.OF,工银信息产业混合A,单文,曹冠业(20131111-20140612) 刘天任(20131111-20170822) 王烁杰(20140428-20170519) 单文(20170725-至今),否,混合型基金,偏股混合型基金,1598582346.48,9.6383561643836,17.31,86.672253530096,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
187,000264.OF,博时内需增长混合A,"陈雷,刘阳",王燕(20130715-20160801) 刘阳(20150707-至今) 陈雷(20170310-至今),否,混合型基金,灵活配置型基金,223480702.8,9.9643835616438,56.01,79.14904442406,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
188,000294.OF,华安生态优先混合A,陈媛,李冠宇(20131128-20141230) 施卫平(20140430-20150626) 翁启森(20150616-20160921) 刘伟亭(20150925-20180514) 陈媛(20180226-至今),否,混合型基金,偏股混合型基金,1863988193.83,9.5917808219178,32.04,88.02293829589,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
189,000308.OF,建信创新中国混合,邵卓,乔林建(20130924-20150522) 邵卓(20150522-至今),否,混合型基金,偏股混合型基金,1255548906.36,9.7698630136986,50.75,87.136962564986,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
190,000339.OF,长城医疗保健混合A,谭小兵,徐九龙(20140228-20160301) 谭小兵(20160203-至今) 陈蔚丰(20211108-20221028),否,混合型基金,偏股混合型基金,786581489.83,9.3397260273973,44.67,88.593698258701,稳定医药行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
191,000390.OF,华商优势行业混合,周海栋,田明圣(20131211-20151008) 吴鹏飞(20131211-20160829) 周海栋(20160805-至今),否,混合型基金,灵活配置型基金,7848022629.56,9.5561643835616,49.71,81.757630403389,行业轮动基金,风格轮动基金,稳定中盘,轮动基金,稳定低
192,000408.OF,民生加银城镇化混合A,柳世庆,蔡锋亮(20131212-20160704) 黄一明(20131212-20170331) 柳世庆(20170331-至今),否,混合型基金,灵活配置型基金,467470324.83,9.5534246575342,18.97,82.200423375223,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
193,000480.OF,东方红新动力混合A,周云,杨达治(20140128-20151209) 周云(20150914-至今) 孙伟(20160122-20170412),否,混合型基金,灵活配置型基金,1585196392.19,9.4246575342466,3.46,78.390769688478,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定中立基金,轮动基金
194,000520.OF,上银新兴价值成长混合,赵治烨,高云志(20140506-20150525) 慕浩(20150127-20150615) 赵治烨(20150513-至今) 常璐(20171206-20180328),否,混合型基金,灵活配置型基金,460627890.98,9.1561643835616,95.38,84.252868100176,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
195,000522.OF,华润元大信息传媒科技混合A,刘宏毅,张仲维(20140331-20150508) 杨伟(20150508-20160812) 袁华涛(20160805-20190916) 石武斌(20170801-20190220) 李仆(20180822-20211103) 刘宏毅(20190214-至今),否,混合型基金,偏股混合型基金,199508314.45,9.2547945205479,0.78,76.809057618701,稳定TMT行业基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
196,000527.OF,南方新优享灵活配置混合A,章晖,史博(20140226-20181116) 章晖(20150528-至今),否,混合型基金,灵活配置型基金,3803783656.26,9.3452054794521,10.14,85.155823203426,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定低
197,000589.OF,光大保德信银发商机混合A,陈栋,王健(20140429-20150530) 陈栋(20150414-至今),否,混合型基金,偏股混合型基金,72766990.79,9.1753424657534,0.0,89.956164531948,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定中
198,000595.OF,嘉实泰和混合,归凯,张弢(20140404-20141230) 王汉博(20141126-20160310) 归凯(20160310-至今),否,混合型基金,灵活配置型基金,4123309063.59,9.2438356164384,2.29,90.094751416611,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
199,000609.OF,华商新量化混合A,邓默,费鹏(20140605-20151105) 邓默(20150909-至今) 王东旋(20150909-20170426),否,混合型基金,灵活配置型基金,260595980.5,9.0739726027397,13.85,84.847204098212,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
200,000612.OF,华宝生态中国混合A,夏林锋,邵喆阳(20140613-20150217) 沈梦圆(20140830-20141128) 夏林锋(20150217-至今) 区伟良(20150409-20180702),否,混合型基金,偏股混合型基金,1490846140.76,9.0520547945205,62.93,91.336322569246,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
201,000619.OF,东方红产业升级混合,王延飞,杨达治(20140606-20151209) 王延飞(20150626-至今),否,混合型基金,灵活配置型基金,4306912288.01,9.0712328767123,0.95,94.304245658707,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
202,000652.OF,博时裕隆混合A,陈鹏扬,丛林(20140603-20150824) 陈鹏扬(20150824-至今),否,混合型基金,灵活配置型基金,1647233253.3,9.0794520547945,50.64,87.135020604068,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定中
203,000727.OF,融通健康产业灵活配置混合A/B,万民远,蒋秀蕾(20141225-20160902) 万民远(20160826-至今),否,混合型基金,灵活配置型基金,3806514461.04,8.5178082191781,52.02,94.900761382681,稳定医药行业基金,风格轮动基金,稳定小盘,稳定独立基金,轮动基金
204,000742.OF,国泰新经济灵活配置混合A,彭凌志,范迪钊(20140916-20150126) 周伟锋(20150126-20161214) 彭凌志(20151201-至今),否,混合型基金,灵活配置型基金,530643516.92,8.7917808219178,2.75,88.471636468495,行业轮动基金,稳定成长型,风格轮动基金,轮动基金,轮动基金
205,000747.OF,广发逆向策略混合A,程琨,程琨(20140904-至今),否,混合型基金,灵活配置型基金,133675411.96,8.8246575342466,12.73,94.657461501945,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
206,000877.OF,华泰柏瑞量化优选混合,"盛豪,雷文渊",田汉卿(20141217-20200713) 盛豪(20151013-至今) 雷文渊(20220805-至今),否,混合型基金,灵活配置型基金,779895812.86,8.5397260273973,72.78,92.15304896489,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
207,000880.OF,富国研究精选灵活配置混合A,刘莉莉,尚鹏岳(20141212-20150609) 李晓铭(20150206-20190419) 汪孟海(20171212-20210126) 刘莉莉(20190201-至今),否,混合型基金,灵活配置型基金,808921685.75,8.5534246575342,46.87,91.282902081797,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
208,000934.OF,国富大中华精选混合(QDII)人民币,徐成,曾宇(20150203-20160224) 徐成(20151224-至今),否,QDII基金,QDII混合型基金,1885355286.73,8.4082191780822,22.09,81.841442826207,,,,稳定独立基金,稳定低
209,000939.OF,中银研究精选灵活配置混合A,吴印,张发余(20141223-20150417) 辜岚(20150323-20161102) 赵志华(20161102-20191021) 吴印(20171027-至今),否,混合型基金,灵活配置型基金,218729404.07,8.5232876712329,3.993,89.636814921971,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
210,000940.OF,富国中小盘精选混合A,曹晋,曹晋(20150123-至今),否,混合型基金,偏股混合型基金,1068455603.55,8.4383561643836,36.76,75.950654746223,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
211,000965.OF,汇丰晋信新动力混合,"陈平,闵良超",曹庆(20150211-20160430) 郑屹(20150211-20160820) 陈平(20160820-至今) 闵良超(20210930-至今),否,混合型基金,偏股混合型基金,459990597.0,8.386301369863,76.01,92.595747356114,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
212,000967.OF,华泰柏瑞创新动力混合,吴邦栋,张慧(20150206-20230609) 吴邦栋(20180314-至今),否,混合型基金,灵活配置型基金,381391599.2,8.4,26.65,81.487562298672,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
213,000976.OF,长城新兴产业混合A,陈良栋,吴文庆(20150217-20170316) 徐九龙(20150217-20160301) 陈良栋(20170316-至今),否,混合型基金,灵活配置型基金,87583223.42,8.3698630136986,11.02,87.861339609508,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,轮动基金
214,000977.OF,长城环保主题灵活配置混合A,廖瀚博,吴文庆(20150408-20160727) 蒋劲刚(20150408-20160727) 乔春(20150420-20170818) 何以广(20170818-20181207) 廖瀚博(20180308-至今),否,混合型基金,灵活配置型基金,987842520.6,8.2328767123288,20.15,88.207355578887,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
215,001000.OF,中欧明睿新起点混合,葛兰,葛兰(20150129-20160422) 刘明月(20150518-20161201) 周晶(20161201-20180713) 张跃鹏(20170623-20180712) 葛兰(20180712-至今),否,混合型基金,偏股混合型基金,1799642005.41,8.4219178082192,1.51,92.806373542025,行业轮动基金,稳定成长型,稳定大盘,稳定共振基金,轮动基金
216,001017.OF,宏利改革动力混合A,刘欣,刘欣(20150213-至今),否,混合型基金,灵活配置型基金,106439187.75,8.3808219178082,,92.274163522488,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
217,001018.OF,易方达新经济混合,陈皓,陈皓(20150212-至今),否,混合型基金,灵活配置型基金,6191804650.89,8.3835616438356,26.35,90.694701954346,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
218,001053.OF,南方创新经济,章晖,杜冬松(20150324-20160330) 章晖(20150619-至今),否,混合型基金,灵活配置型基金,2096798773.65,8.2739726027397,0.64,85.993225227867,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定低
219,001071.OF,华安媒体互联网混合A,胡宜斌,陈逊(20150515-20150626) 崔莹(20150618-20160921) 胡宜斌(20151126-至今),否,混合型基金,灵活配置型基金,6218627204.85,8.1315068493151,26.09,92.130230223254,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
220,001074.OF,华泰柏瑞量化驱动混合A,"孔令烨,盛豪",田汉卿(20150324-20200713) 盛豪(20151013-至今) 孔令烨(20220805-至今),否,混合型基金,灵活配置型基金,362253470.84,8.2739726027397,56.03,92.966829638587,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
221,001102.OF,前海开源国家比较优势混合A,曲扬,曲扬(20150508-至今),否,混合型基金,灵活配置型基金,4337796806.68,8.1506849315068,1.23,90.503719361273,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
222,001106.OF,华商健康生活混合,何奇峰,蔡建军(20150317-20171225) 何奇峰(20171221-至今),否,混合型基金,灵活配置型基金,225348539.35,8.2931506849315,,86.263491718523,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
223,001117.OF,中欧精选定期开放混合A,周蔚文,曹剑飞(20150318-20160408) 刘明月(20160108-20161201) 周蔚文(20161201-至今),否,混合型基金,灵活配置型基金,4633446983.47,8.2904109589041,1.02,88.629618363817,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
224,001125.OF,博时互联网主题灵活配置混合,郭晓林,招扬(20150428-20180319) 张雪川(20150428-20160607) 郭晓林(20160720-至今) 肖瑞瑾(20170105-20190621),否,混合型基金,灵活配置型基金,414593847.42,8.1780821917808,0.0,78.860328913368,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
225,001143.OF,华商量化进取混合,邓默,费鹏(20150409-20151105) 邓默(20150909-至今) 王东旋(20150909-20170426),否,混合型基金,灵活配置型基金,421146858.69,8.2301369863014,,84.510105262825,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,轮动基金
226,001150.OF,融通互联网传媒灵活配置混合,张鹏,刘格菘(20150416-20170218) 林清源(20150512-20160726) 张鹏(20150829-至今) 伍文友(20151117-20190126) 关山(20190126-20230331),否,混合型基金,灵活配置型基金,912818929.04,8.2109589041096,,93.240980757828,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定低
227,001179.OF,德邦大健康灵活配置混合A,黎莹,李煜(20150429-20150618) 黎莹(20150604-至今),否,混合型基金,灵活配置型基金,343009225.55,8.1753424657534,40.24,93.274025751638,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定中
228,001184.OF,易方达新常态混合,孙松,宋昆(20150430-20190112) 樊正伟(20150430-20180324) 赵锴(20181212-20200625) 孙松(20181225-至今),否,混合型基金,灵活配置型基金,2033064958.24,8.172602739726,0.21,89.961141604315,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
229,001222.OF,鹏华外延成长混合,陈璇淼,张卓(20150519-20170318) 陈璇淼(20160329-至今),否,混合型基金,灵活配置型基金,1269893586.05,8.1205479452055,4.17,76.396840418548,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
230,001255.OF,长城改革红利混合A,赵凤飞,吴文庆(20150609-20170316) 赵波(20160121-20190308) 郑帮强(20170316-20180803) 赵凤飞(20180308-至今),否,混合型基金,灵活配置型基金,185455775.43,8.0630136986301,21.76,85.651246423413,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
231,001256.OF,泓德优选成长混合,王克玉,王德晓(20150521-20151118) 王克玉(20151009-至今),否,混合型基金,偏股混合型基金,2866322821.91,8.1150684931507,68.25,89.142872913295,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
232,001280.OF,银华聚利灵活配置混合A,孙蓓琳,胡娜(20150514-20161018) 哈默(20161017-20171109) 孙蓓琳(20171108-至今),否,混合型基金,灵活配置型基金,448355929.07,8.1342465753425,97.26,89.206024082356,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
233,001297.OF,平安智慧中国混合,李化松,孙健(20150609-20160817) 史献涛(20151110-20160831) 神爱前(20160802-20190118) 李化松(20180810-至今),否,混合型基金,灵活配置型基金,328575192.43,8.0630136986301,29.42,88.213003947871,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
234,001349.OF,富国改革动力混合,徐斌,汪鸣(20150520-20171229) 张啸伟(20150818-20180427) 李晓铭(20160205-20190823) 徐斌(20190820-至今),否,混合型基金,偏股混合型基金,1404800306.5,8.1178082191781,0.03,79.220160642811,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
235,001366.OF,金鹰产业整合混合A,杨晓斌,王喆(20150616-20160713) 于利强(20150616-20190327) 杨晓斌(20190314-至今),否,混合型基金,灵活配置型基金,112662736.16,8.0438356164384,10.07,94.434554299722,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,稳定低
236,001371.OF,富国沪港深价值精选灵活配置混合A,汪孟海,张峰(20150624-20180726) 汪孟海(20151009-至今),否,混合型基金,灵活配置型基金,2035279896.71,8.0219178082192,5.05,84.642073444628,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定共振基金,轮动基金
237,001373.OF,易方达新丝路混合,"杨宗昌,祁禾",樊正伟(20150527-20171230) 张坤(20151107-20210211) 郭杰(20151107-20171230) 宋昆(20171230-20190112) 祁禾(20181211-至今) 杨宗昌(20210211-至今),否,混合型基金,灵活配置型基金,3817810322.12,8.0986301369863,3.2,86.420938797134,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
238,001382.OF,易方达国企改革混合,郭杰,郭杰(20170823-至今),否,混合型基金,偏股混合型基金,402965985.75,5.8547945205479,44.09,93.937429114636,行业轮动基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
239,001398.OF,华泰柏瑞健康生活混合,吕慧建,徐晓杰(20150618-20180530) 吕慧建(20150618-至今),否,混合型基金,灵活配置型基金,113080852.12,8.0383561643836,,94.5707968901,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金
240,001437.OF,易方达瑞享灵活配置混合I,武阳,廖振华(20150626-20160531) 梁裕宁(20160123-20171230) 武阳(20171230-至今),否,混合型基金,灵活配置型基金,1047739950.4,8.0164383561644,21.89,94.569900304902,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定高
241,001457.OF,华商新常态混合A,吴昊,吴鹏飞(20150629-20160829) 高兵(20160805-20180716) 吴昊(20180712-至今),否,混合型基金,灵活配置型基金,160980424.14,8.0082191780822,23.69,84.256999450669,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
242,001468.OF,广发改革混合,陈少平,白金(20150727-20170421) 王小松(20170421-20190329) 陈少平(20190329-至今),否,混合型基金,灵活配置型基金,549394951.85,7.9315068493151,46.11,91.602997110793,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
243,001475.OF,易方达国防军工混合A,何崇恺,陈皓(20150619-20200606) 何崇恺(20191128-至今),否,混合型基金,偏股混合型基金,13146728658.28,8.0356164383562,11.56,93.287260122856,稳定制造行业基金,风格轮动基金,稳定中盘,轮动基金,稳定高
244,001480.OF,财通成长优选混合,金梓才,金梓才(20150629-至今),否,混合型基金,灵活配置型基金,1475821583.56,8.0082191780822,8.274,90.515938208305,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
245,001513.OF,易方达信息产业混合A,郑希,郑希(20160927-至今),否,混合型基金,偏股混合型基金,4462807995.67,6.758904109589,46.86,92.057116520721,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
246,001564.OF,东方红京东大数据混合A,周云,杨达治(20150731-20160129) 周云(20150914-至今),否,混合型基金,灵活配置型基金,1326466957.58,7.9205479452055,30.82,74.997456049439,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,轮动基金
247,001569.OF,泰信国策驱动灵活配置混合,吴秉韬,车广路(20151027-20190830) 吴秉韬(20190725-至今),否,混合型基金,灵活配置型基金,145224877.53,7.6794520547945,9.69,89.270678849923,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
248,001607.OF,英大策略优选A,"张媛,张大铮",袁忠伟(20151202-20190311) 张玮(20160317-20170328) 张媛(20190311-至今) 张大铮(20200106-至今) 汤戈(20210806-20230331),否,混合型基金,灵活配置型基金,64636021.88,7.5808219178082,93.01,90.097344816337,稳定行业均衡基金,稳定价值型,风格轮动基金,稳定独立基金,稳定高
249,001667.OF,南方转型增长灵活配置混合A,林乐峰,张旭(20160817-20190315) 林乐峰(20171215-至今),否,混合型基金,灵活配置型基金,3362239892.62,6.8712328767123,53.03,92.785022043638,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
250,001668.OF,汇添富全球互联混合(QDII)A,杨瑨,韩贤旺(20170125-20180516) 杨瑨(20170125-至今) 欧阳沁春(20170125-20180516),否,QDII基金,QDII混合型基金,1326565116.61,6.4301369863014,9.01,92.257561565824,,,,稳定独立基金,稳定低
251,001808.OF,银华互联网主题灵活配置混合A,王浩,王浩(20151118-至今),否,混合型基金,灵活配置型基金,103536507.63,7.6191780821918,14.86,91.484892354143,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,稳定中
252,001810.OF,中欧潜力价值灵活配置混合A,"曹名长,沈悦",张燕(20150930-20161117) 曹名长(20151120-至今) 袁维德(20161228-20220211) 沈悦(20200512-至今),否,混合型基金,灵活配置型基金,1788813451.12,7.7534246575342,12.66,93.391606430357,稳定行业均衡基金,稳定价值型,稳定小盘,稳定独立基金,轮动基金
253,001832.OF,易方达瑞恒混合,"王元春,萧楠",萧楠(20180110-至今) 王元春(20181208-至今),否,混合型基金,灵活配置型基金,3274506696.28,5.4712328767123,42.59,90.629984444724,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,稳定高
254,001837.OF,前海开源沪港深蓝筹精选混合A,曲扬,曲扬(20151208-至今),否,混合型基金,灵活配置型基金,975682735.94,7.5643835616438,17.64,92.7922501707,稳定行业均衡基金,稳定价值型,风格轮动基金,轮动基金,稳定高
255,001838.OF,国投瑞银国家安全混合A,李轩,李轩(20151202-至今),否,混合型基金,灵活配置型基金,3275440389.04,7.5808219178082,21.28,94.567539796111,稳定制造行业基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
256,001857.OF,易方达现代服务业混合,王元春,萧楠(20171122-20200606) 王元春(20181208-至今),否,混合型基金,灵活配置型基金,718580285.26,5.6054794520548,35.68,89.171128253004,行业轮动基金,风格轮动基金,稳定大盘,稳定中立基金,稳定高
257,001869.OF,招商制造业混合A,王景,王景(20151202-至今),否,混合型基金,灵活配置型基金,1124671716.42,7.5808219178082,9.54,88.543113696058,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
258,001898.OF,易方达大健康主题混合,许征,萧楠(20170927-20210529) 杨桢霄(20170927-20231014) 许征(20230307-至今),否,混合型基金,灵活配置型基金,542108662.07,5.758904109589,10.54,80.299506284921,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
259,001910.OF,泰康新机遇混合,"任慧娟,桂跃强,陆建巍",桂跃强(20151208-至今) 蒋利娟(20151208-20161227) 任慧娟(20160509-至今) 金宏伟(20170828-20230207) 陆建巍(20230602-至今),否,混合型基金,灵活配置型基金,1612333162.41,7.5643835616438,95.15,84.136183110091,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
260,001924.OF,华夏国企改革混合,郑晓辉,郑晓辉(20151125-至今),否,混合型基金,灵活配置型基金,244292325.01,7.6,4.56,89.515295128919,行业轮动基金,风格轮动基金,风格轮动基金,稳定中立基金,轮动基金
261,001927.OF,华夏消费升级混合A,黄文倩,黄文倩(20160203-至今),否,混合型基金,灵活配置型基金,674083069.03,7.4082191780822,4.43,83.38130770337,稳定消费行业基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高
262,001955.OF,中欧养老混合A,许文星,袁争光(20160513-20170616) 王健(20161103-20230217) 孔晓语(20170621-20180709) 许文星(20180416-至今),否,混合型基金,偏股混合型基金,4739550876.270001,7.1342465753425,61.99,89.472064080922,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
263,001985.OF,富国低碳新经济混合A,杨栋,杨栋(20151218-至今),否,混合型基金,偏股混合型基金,1716990728.99,7.5369863013699,33.08,94.382412546292,稳定行业均衡基金,风格轮动基金,稳定中盘,轮动基金,稳定中
264,001986.OF,前海开源人工智能主题混合,"魏淳,曲扬",曲扬(20160504-至今) 魏淳(20210316-至今),否,混合型基金,灵活配置型基金,896678293.57,7.158904109589,2.4,93.979577140752,行业轮动基金,风格轮动基金,稳定大盘,轮动基金,稳定高
265,001990.OF,中欧数据挖掘混合A,曲径,曲径(20160113-至今),否,混合型基金,灵活配置型基金,273112963.6,7.4657534246575,33.77,84.573379336067,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
266,002124.OF,广发新兴产业精选混合A,李巍,王小松(20160129-20190626) 李巍(20160129-至今),否,混合型基金,灵活配置型基金,2046629789.59,7.4219178082192,57.93,91.073266552626,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
267,002249.OF,招商境远灵活配置混合,"郭锐,文仲阳",王景(20151215-20190829) 康晶(20151215-20180302) 郭锐(20160302-至今) 文仲阳(20200520-至今),否,混合型基金,灵活配置型基金,149905521.19,7.5452054794521,6.19,87.808308383228,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
268,002259.OF,鹏华健康环保混合,蒋鑫,梁浩(20160120-20170318) 郑川江(20160120-20170318) 蒋鑫(20160624-至今),否,混合型基金,灵活配置型基金,172113767.31,7.4465753424658,36.63,82.767402739736,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
269,002340.OF,富国价值优势混合,孙彬,王海军(20160408-20190617) 孙彬(20190523-至今),否,混合型基金,偏股混合型基金,4994497223.9,7.2301369863014,19.61,93.935134723662,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
