,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
455,002545.OF,价值型,大盘,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
456,001564.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,风格轮动基金
457,750001.OF,价值型,中盘,价值型,中盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,风格轮动基金
458,000978.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
459,501049.SH,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,价值型,大盘,风格轮动基金
460,000866.OF,价值型,小盘,均衡型,小盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,中盘,均衡-价值型,大盘,风格轮动基金
461,000628.OF,价值型,中盘,价值型,中盘,价值型,中盘,均衡-价值型,中盘,价值型,中盘,均衡-价值型,中盘,稳定中盘
462,005335.OF,价值型,小盘,价值型,中盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,风格轮动基金
463,001008.OF,价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡型,大盘,稳定大盘
464,002210.OF,价值型,小盘,价值型,小盘,均衡型,小盘,均衡型,小盘,均衡-价值型,小盘,均衡-价值型,小盘,稳定小盘
465,001837.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,中盘,风格轮动基金
466,240008.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
467,168102.SZ,价值型,中盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,风格轮动基金
468,003715.OF,价值型,中盘,价值型,大盘,均衡-价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,风格轮动基金
469,000991.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,稳定中盘
470,000880.OF,价值型,中盘,价值型,中盘,价值型,大盘,均衡-价值型,大盘,价值型,中盘,价值型,大盘,风格轮动基金
471,003298.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,稳定中盘
472,001637.OF,价值型,小盘,价值型,小盘,均衡-价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,风格轮动基金
473,000251.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
474,070019.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,风格轮动基金
475,000965.OF,价值型,小盘,价值型,小盘,价值型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
476,001810.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
477,257010.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,风格轮动基金
478,550001.OF,价值型,大盘,均衡-价值型,中盘,均衡-价值型,小盘,均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
479,166005.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
480,166024.SZ,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
481,240022.OF,价值型,大盘,价值型,中盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,中盘,价值型,中盘,风格轮动基金
482,000893.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,稳定中盘
483,001583.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,中盘,价值型,大盘,风格轮动基金
484,000979.OF,价值型,中盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,风格轮动基金
485,162209.OF,价值型,大盘,价值型,大盘,价值型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
486,003580.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
487,005267.OF,价值型,中盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,大盘,价值型,大盘,风格轮动基金
488,002653.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
489,004871.OF,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,价值型,大盘,稳定大盘
490,090013.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,风格轮动基金
491,001703.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,价值型,小盘,价值型,中盘,风格轮动基金
492,004263.OF,价值型,小盘,价值型,小盘,价值型,大盘,价值型,大盘,价值型,中盘,价值型,中盘,风格轮动基金
493,001878.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,中盘,风格轮动基金
494,002121.OF,价值型,中盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,风格轮动基金
495,519139.OF,价值型,小盘,价值型,小盘,价值型,中盘,价值型,中盘,价值型,中盘,价值型,小盘,风格轮动基金
496,002685.OF,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
497,160322.SZ,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,价值型,小盘,稳定小盘
