,Unnamed: 0,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签,3年滚动累计超额收益率均值,3年滚动超额夏普比例,3年滚动累计超额收益率均值排名,3年滚动超额夏普比例排名,总得分
166,477,519089.OF,新华优选成长混合,栾超,王卫东(20080725-20140102) 曹名长(20080725-20090827) 崔建波(20120110-20130201) 何潇(20120730-20140102) 李昱(20130201-20150915) 付伟(20150825-20180827) 栾超(20180105-至今),否,混合型基金,偏股混合型基金,631189509.28,14.939726027397,23.45,85.592065441053,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定共振基金,轮动基金,-0.009193091522684618,-0.0003090674848259386,208.0,207.0,207.5
167,33,000577.OF,安信价值精选股票,陈一峰,陈一峰(20140421-至今),否,股票型基金,普通股票型基金,1978540620.07,9.1972602739726,10.72,91.85177881694,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,-0.021232691068343176,-0.000787518767946523,206.0,203.0,204.5
168,179,000117.OF,广发轮动配置混合,吴兴武,朱纪刚(20130528-20150217) 吴兴武(20150212-至今),否,混合型基金,偏股混合型基金,341364246.89,10.095890410959,0.97,78.697083387461,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定高,-0.026369871541552917,-0.0004507039021859633,201.0,206.0,203.5
169,283,003131.OF,国寿安保强国智造灵活配置混合,李捷,张琦(20160927-20171107) 李捷(20160927-至今),否,混合型基金,灵活配置型基金,99621792.02,6.758904109589,94.28,92.625019756195,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,-0.023311407720474825,-0.0017645039407579361,204.0,198.0,201.0
170,174,000020.OF,景顺长城品质投资混合A,詹成,余广(20130319-20170105) 詹成(20151229-至今),否,混合型基金,偏股混合型基金,525284769.28,10.287671232877,15.5,88.346000117333,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,-0.022602794395507025,-0.002012499673905385,205.0,197.0,201.0
171,243,001475.OF,易方达国防军工混合A,何崇恺,陈皓(20150619-20200606) 何崇恺(20191128-至今),否,混合型基金,偏股混合型基金,13146728658.28,8.0356164383562,11.56,93.287260122856,稳定制造行业基金,风格轮动基金,稳定中盘,轮动基金,稳定高,-0.03150765848697089,-0.0004688511259729225,196.0,205.0,200.5
172,383,210009.OF,金鹰核心资源混合A,陈颖,冯文光(20120523-20141119) 陈晓(20121103-20140930) 冼鸿鹏(20140930-20171108) 杨刚(20141119-20151224) 于利强(20171101-20190327) 陈颖(20190126-至今),否,混合型基金,偏股混合型基金,690230538.83,11.109589041096,29.69,93.00687384945,稳定TMT行业基金,风格轮动基金,稳定小盘,稳定独立基金,轮动基金,-0.0290708453192339,-0.0008320427632160189,198.0,202.0,200.0
173,453,470009.OF,汇添富民营活力混合A,马翔,齐东超(20100505-20140408) 朱晓亮(20140408-20160311) 马翔(20160311-至今),否,混合型基金,偏股混合型基金,2731268065.71,13.161643835616,2.72,92.378128560739,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,-0.02848450197606127,-0.0016570714046912141,199.0,199.0,199.0
174,227,001179.OF,德邦大健康灵活配置混合A,黎莹,李煜(20150429-20150618) 黎莹(20150604-至今),否,混合型基金,灵活配置型基金,343009225.55,8.1753424657534,40.24,93.274025751638,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定中,-0.030019141099175653,-0.0012403813658933597,197.0,200.0,198.5
175,133,519193.OF,万家消费成长,高源,莫海波(20170223-20180315) 高源(20171114-至今),否,股票型基金,普通股票型基金,398063896.57,6.3506849315068,13.37,83.392951900531,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,-0.03176174463559894,-0.0012014334944097876,195.0,201.0,198.0
