,thscode,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,wwsum,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,H,HCategory
1168,561130.SH,1600.0,1602.0,859.0,696.0,632.0,320.0,297.0,389.0,348.0,718.0,91383022.60000001,0.22945618784993,0.20579903646128683,0.10832708437901899,0.09884151063307026,0.07296410000778415,0.06151602168606753,0.0614623049248975,0.056133566761666726,0.052753956510079365,0.05274623078619857,1020.7854846005059,共振基金
856,512160.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,60149937.77,0.30480201110272903,0.1452352054528152,0.09789504192865268,0.09230633124227752,0.0752769397254191,0.07282686171264513,0.0678415664468941,0.052334218732476005,0.04688500278726057,0.044596820868830635,1020.7436136853712,共振基金
645,160807.SZ,1600.0,1602.0,565.0,859.0,696.0,400.0,494.0,216.0,632.0,468.0,40453710.379999995,0.2754258854215884,0.1553027729962208,0.12948369755941286,0.08331802913352444,0.0744086248634482,0.06008930941478699,0.05939345952276035,0.0585438140964908,0.05397698701772335,0.050057419974043935,1009.555223024267,共振基金
868,512380.SH,1600.0,1602.0,483.0,859.0,565.0,400.0,494.0,514.0,216.0,325.0,28657400.870000005,0.29621737290510947,0.15751696116745564,0.09451419869815986,0.08686662971609538,0.08496212238664196,0.07143284798528206,0.06485273833558233,0.05489160050263832,0.04446291922216461,0.04428260908087021,1007.3828735777457,共振基金
989,515310.SH,1600.0,1602.0,565.0,483.0,859.0,696.0,494.0,216.0,400.0,632.0,12479110.8,0.2845635443833065,0.14227058549716537,0.11972647922959381,0.09634436453597318,0.07602352565056157,0.06895736513534281,0.055879702582655164,0.05392611787692437,0.05144164598650731,0.05086666912196981,1002.674480300311,共振基金
1986,007580.OF,1600.0,1602.0,565.0,483.0,696.0,494.0,755.0,400.0,632.0,468.0,72043710.81,0.2699264069182391,0.1536408948893786,0.1277963044446905,0.10290402752228803,0.0740551248681578,0.05915096476968938,0.05614328252284538,0.054840956352453604,0.05400639634264836,0.047535641369609236,1001.3887489862074,共振基金
3765,213010.OF,1600.0,1602.0,565.0,483.0,696.0,494.0,755.0,400.0,632.0,468.0,72043710.81,0.2699264069182391,0.1536408948893786,0.1277963044446905,0.10290402752228803,0.0740551248681578,0.05915096476968938,0.05614328252284538,0.054840956352453604,0.05400639634264836,0.047535641369609236,1001.3887489862074,共振基金
644,160806.SZ,1600.0,1602.0,565.0,483.0,859.0,696.0,494.0,400.0,216.0,632.0,13877969.609999998,0.28061547253957425,0.14078908189798237,0.11540846716121324,0.09587714899168165,0.07658741803513722,0.06851513490235983,0.05925446611494635,0.05741525759112828,0.053757946656866916,0.05177960610911009,996.0926749932553,共振基金
1856,006524.OF,1600.0,755.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,9836650.24,0.275052983890581,0.15419770582388825,0.12652860167161947,0.08622077834496635,0.08148027839200675,0.06683047419199485,0.06273680419077297,0.06038854544044457,0.045716782545680915,0.04084704550804482,995.1708706296342,共振基金
1857,006525.OF,1600.0,755.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,9836650.24,0.275052983890581,0.15419770582388825,0.12652860167161947,0.08622077834496635,0.08148027839200675,0.06683047419199485,0.06273680419077297,0.06038854544044457,0.045716782545680915,0.04084704550804482,995.1708706296342,共振基金
