,thscode,Stable_Count,XStable,YStable
45,001542.OF,行业轮动基金,稳定成长型,风格轮动基金
46,001255.OF,行业轮动基金,风格轮动基金,风格轮动基金
47,001071.OF,行业轮动基金,风格轮动基金,风格轮动基金
48,000742.OF,行业轮动基金,稳定成长型,风格轮动基金
49,519005.OF,行业轮动基金,稳定成长型,风格轮动基金
50,000083.OF,稳定消费行业基金,风格轮动基金,稳定大盘
51,100039.OF,行业轮动基金,风格轮动基金,风格轮动基金
52,000940.OF,行业轮动基金,风格轮动基金,风格轮动基金
53,660012.OF,稳定消费行业基金,风格轮动基金,风格轮动基金
54,217012.OF,行业轮动基金,风格轮动基金,风格轮动基金
55,270041.OF,稳定消费行业基金,风格轮动基金,稳定大盘
56,200001.OF,行业轮动基金,稳定成长型,风格轮动基金
57,001166.OF,行业轮动基金,风格轮动基金,稳定大盘
58,001927.OF,稳定消费行业基金,风格轮动基金,稳定大盘
59,002983.OF,稳定制造行业基金,风格轮动基金,风格轮动基金
60,290011.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
61,240004.OF,行业轮动基金,风格轮动基金,风格轮动基金
62,163503.SZ,行业轮动基金,风格轮动基金,稳定大盘
63,001171.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
64,001513.OF,行业轮动基金,风格轮动基金,风格轮动基金
65,379010.OF,行业轮动基金,风格轮动基金,风格轮动基金
66,001924.OF,行业轮动基金,风格轮动基金,风格轮动基金
67,519915.OF,行业轮动基金,风格轮动基金,稳定大盘
68,200006.OF,行业轮动基金,风格轮动基金,风格轮动基金
69,001475.OF,稳定制造行业基金,风格轮动基金,稳定中盘
70,210003.OF,行业轮动基金,风格轮动基金,稳定中盘
71,610004.OF,行业轮动基金,稳定成长型,风格轮动基金
72,000780.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
73,420003.OF,行业轮动基金,风格轮动基金,稳定大盘
74,004505.OF,行业轮动基金,风格轮动基金,风格轮动基金
75,001143.OF,行业轮动基金,风格轮动基金,稳定大盘
76,000609.OF,行业轮动基金,风格轮动基金,稳定大盘
77,630016.OF,行业轮动基金,风格轮动基金,风格轮动基金
78,210009.OF,稳定TMT行业基金,风格轮动基金,稳定小盘
79,001106.OF,行业轮动基金,风格轮动基金,风格轮动基金
80,610006.OF,行业轮动基金,稳定成长型,风格轮动基金
81,590005.OF,行业轮动基金,风格轮动基金,风格轮动基金
82,001163.OF,行业轮动基金,风格轮动基金,稳定大盘
83,519710.OF,稳定消费行业基金,风格轮动基金,稳定大盘
84,000985.OF,行业轮动基金,风格轮动基金,风格轮动基金
85,070021.OF,行业轮动基金,风格轮动基金,风格轮动基金
86,004871.OF,稳定金融地产行业基金,稳定价值型,稳定大盘
87,005094.OF,行业轮动基金,风格轮动基金,稳定中盘
88,001808.OF,行业轮动基金,风格轮动基金,风格轮动基金
89,260108.OF,稳定消费行业基金,风格轮动基金,稳定大盘
90,519196.OF,行业轮动基金,风格轮动基金,风格轮动基金
91,050010.OF,行业轮动基金,稳定成长型,风格轮动基金
92,260109.OF,稳定消费行业基金,风格轮动基金,稳定大盘
93,004868.OF,稳定消费行业基金,风格轮动基金,稳定大盘
94,519714.OF,稳定消费行业基金,风格轮动基金,稳定大盘
95,180012.OF,行业轮动基金,风格轮动基金,稳定大盘
96,050018.OF,行业轮动基金,风格轮动基金,风格轮动基金
97,162605.SZ,稳定消费行业基金,风格轮动基金,稳定大盘
98,161903.SZ,行业轮动基金,风格轮动基金,风格轮动基金
99,519195.OF,行业轮动基金,风格轮动基金,风格轮动基金
100,001576.OF,行业轮动基金,风格轮动基金,风格轮动基金
101,001579.OF,行业轮动基金,风格轮动基金,稳定中盘
102,519093.OF,行业轮动基金,风格轮动基金,风格轮动基金
103,001000.OF,行业轮动基金,稳定成长型,稳定大盘
104,270028.OF,行业轮动基金,风格轮动基金,稳定中盘
105,398061.OF,行业轮动基金,风格轮动基金,风格轮动基金
106,004666.OF,行业轮动基金,稳定成长型,风格轮动基金
107,001396.OF,行业轮动基金,风格轮动基金,稳定大盘
108,001245.OF,行业轮动基金,风格轮动基金,风格轮动基金
109,163412.SZ,行业轮动基金,风格轮动基金,风格轮动基金
110,690004.OF,行业轮动基金,风格轮动基金,风格轮动基金
111,003298.OF,行业轮动基金,稳定价值型,稳定中盘
112,260104.OF,行业轮动基金,风格轮动基金,稳定大盘
113,000524.OF,行业轮动基金,风格轮动基金,风格轮动基金
114,519773.OF,行业轮动基金,风格轮动基金,风格轮动基金
115,519015.OF,行业轮动基金,风格轮动基金,风格轮动基金
116,200008.OF,稳定消费行业基金,风格轮动基金,稳定大盘
117,180031.OF,行业轮动基金,风格轮动基金,风格轮动基金
118,519011.OF,行业轮动基金,风格轮动基金,风格轮动基金
119,163302.SZ,行业轮动基金,风格轮动基金,风格轮动基金
120,003940.OF,行业轮动基金,风格轮动基金,稳定大盘
121,000294.OF,行业轮动基金,风格轮动基金,稳定大盘
122,519664.OF,行业轮动基金,风格轮动基金,稳定大盘
123,001044.OF,行业轮动基金,风格轮动基金,风格轮动基金
124,000778.OF,行业轮动基金,风格轮动基金,稳定大盘
125,001150.OF,行业轮动基金,风格轮动基金,风格轮动基金
126,519181.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
127,002229.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
128,002939.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
129,375010.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
130,519712.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
131,481013.OF,行业轮动基金,风格轮动基金,稳定大盘
132,377240.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
133,270021.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
134,470009.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
135,162209.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
136,001222.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
137,519089.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
138,519025.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
139,519651.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
140,000520.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
141,270050.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
142,160624.OF,行业轮动基金,稳定成长型,风格轮动基金
143,000866.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
144,050009.OF,行业轮动基金,风格轮动基金,风格轮动基金
145,550002.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
146,000309.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
147,001569.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
148,020005.OF,行业轮动基金,风格轮动基金,稳定大盘
149,000167.OF,行业轮动基金,风格轮动基金,稳定大盘
150,519690.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
151,420005.OF,行业轮动基金,风格轮动基金,风格轮动基金
152,000967.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
153,202011.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
154,180028.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
155,260103.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
156,160518.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
157,519668.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
158,519991.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
159,070019.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
160,110015.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
161,020023.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
162,460007.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
163,100022.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
164,005028.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
165,040015.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
166,233007.OF,行业轮动基金,风格轮动基金,稳定大盘
167,090009.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
168,000011.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
169,001398.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
170,519017.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
171,162703.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
172,519767.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
173,001382.OF,行业轮动基金,风格轮动基金,稳定大盘
174,270005.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
175,162208.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
176,003745.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
177,519736.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
178,700003.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
179,001125.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
180,233006.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
181,180013.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
182,180018.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
183,001790.OF,行业轮动基金,风格轮动基金,风格轮动基金
184,040004.OF,行业轮动基金,风格轮动基金,稳定大盘
185,630006.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
186,163406.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
187,000991.OF,稳定行业均衡基金,稳定价值型,稳定中盘
188,004434.OF,行业轮动基金,风格轮动基金,风格轮动基金
189,320012.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
190,001158.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
191,001256.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
192,270006.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
193,005241.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
194,160918.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
195,002808.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
196,001410.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
197,161810.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
198,340007.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
199,001373.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
200,165313.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
201,002168.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
202,160421.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
203,163822.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
204,005299.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
205,040005.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
206,000117.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
207,519672.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
208,233009.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
209,000619.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
210,001672.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
211,003984.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
212,160613.SZ,稳定行业均衡基金,稳定价值型,风格轮动基金
213,398021.OF,行业轮动基金,风格轮动基金,风格轮动基金
214,000939.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
215,550008.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
216,378010.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
217,163807.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
218,160314.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
219,519021.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
220,570008.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
221,519029.OF,稳定行业均衡基金,风格轮动基金,稳定小盘
222,161606.OF,行业轮动基金,风格轮动基金,风格轮动基金
223,630010.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
224,000264.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
225,070032.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
226,001985.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
227,001857.OF,行业轮动基金,风格轮动基金,稳定大盘
228,410007.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
229,519908.OF,行业轮动基金,风格轮动基金,风格轮动基金
230,001725.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
231,570001.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
232,001126.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
233,288002.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
234,202212.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
235,001468.OF,行业轮动基金,风格轮动基金,风格轮动基金
236,001832.OF,行业轮动基金,风格轮动基金,稳定大盘
237,161706.SZ,稳定行业均衡基金,风格轮动基金,稳定大盘
238,001910.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
239,001291.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
240,000017.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
241,003715.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
242,519193.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
243,213003.OF,行业轮动基金,风格轮动基金,风格轮动基金
244,000592.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
245,001975.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
246,000457.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
247,202005.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
248,410003.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
249,003145.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
250,000996.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
251,001028.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
252,377010.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
253,000977.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
254,260101.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
255,000652.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
256,070002.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
257,370027.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
258,340006.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
259,001437.OF,行业轮动基金,风格轮动基金,风格轮动基金
260,100060.OF,行业轮动基金,风格轮动基金,风格轮动基金
261,001457.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
262,001726.OF,行业轮动基金,风格轮动基金,风格轮动基金
263,519727.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
264,001009.OF,行业轮动基金,风格轮动基金,风格轮动基金
265,400025.OF,行业轮动基金,风格轮动基金,稳定大盘
