jydm,FrawX,FrawY,Xstyle,Ystyle
501046.SH,203.80334538662322,55.762951672072205,均衡型,小盘
001869.OF,203.74698680042934,220.05822298832373,均衡型,大盘
519714.OF,203.64838616263293,281.2896564244861,均衡型,大盘
168101.SZ,203.37988370579015,276.9223511540706,均衡型,大盘
002259.OF,203.09112429442854,146.91095196487487,均衡型,中盘
161610.SZ,202.84608640454016,164.1523938027837,均衡型,中盘
519029.OF,202.7200888899791,-73.26489789561339,均衡型,小盘
005075.OF,202.6858297928686,-1.6061581670115417,均衡型,小盘
110029.OF,202.4365572937624,183.8677872671199,均衡型,中盘
001280.OF,201.63470888094088,259.98935867876355,均衡型,大盘
160421.SZ,200.57612261288054,126.77576393403703,均衡型,中盘
001490.OF,200.52152202669672,303.19641837673055,均衡型,大盘
166002.OF,200.4569248422714,158.51275031101767,均衡型,中盘
001382.OF,200.10266387343918,336.8861237455196,均衡型,大盘
166009.SZ,199.9992202703502,131.49898380814716,均衡型,中盘
000173.OF,199.86420261699328,168.95573146934035,均衡型,中盘
166006.SZ,199.46079473880178,152.87160105016423,均衡型,中盘
040005.OF,199.39863960981407,152.93538447847297,均衡型,中盘
400001.OF,199.19767614521086,212.5843926228226,均衡型,大盘
320003.OF,198.8842846632293,-52.892721513893804,均衡型,小盘
160916.SZ,198.76012858192814,139.45868589163646,均衡型,中盘
002692.OF,198.5983194038559,132.80777510603326,均衡型,中盘
000971.OF,198.3793556657059,319.75465577624857,均衡型,大盘
001927.OF,198.025065810331,222.3893180189715,均衡型,大盘
100060.OF,197.88017177339353,86.92427941383741,均衡型,小盘
160603.OF,197.76863687546677,137.1037520788788,均衡型,中盘
180010.OF,197.65790002904927,220.44474380982953,均衡型,大盘
001579.OF,197.64210962684595,156.47030870707283,均衡型,中盘
001985.OF,197.47071038240304,133.96559074981306,均衡型,中盘
530006.OF,197.1213674065541,341.638535109394,均衡型,大盘
000577.OF,196.7802608358024,388.633531828867,均衡型,大盘
519690.OF,196.38367604154038,161.6684904910639,均衡型,中盘
000727.OF,196.2910909802843,45.5117401278844,均衡型,小盘
320022.OF,196.23758256430014,132.02498199225573,均衡型,中盘
161224.SZ,195.6435059730154,108.52339690204744,均衡型,中盘
001645.OF,193.98995454310608,63.38560875833078,均衡型,小盘
519020.OF,193.9155268185628,228.03966360018987,均衡型,大盘
163822.OF,193.85774660807593,144.4553057675842,均衡型,中盘
700003.OF,193.53026396580182,181.0740958799448,均衡型,中盘
000549.OF,193.41360523000898,158.12613607739496,均衡型,中盘
001117.OF,193.04348161199215,159.8498607024464,均衡型,中盘
519017.OF,192.70116820678328,307.26409352011615,均衡型,大盘
166001.SZ,192.11536224393305,163.4573893289157,均衡型,中盘
004476.OF,191.5802048800872,100.04812757076658,均衡型,中盘
288002.OF,191.44366694879375,137.4468820541023,均衡型,中盘
519008.OF,191.14994135284954,171.74299312271913,均衡型,中盘
001158.OF,191.07522434199865,238.44356093737588,均衡型,大盘
001236.OF,190.98119182476486,167.93563720358648,均衡型,中盘
519736.OF,190.89042703931165,315.3651670805731,均衡型,大盘
