,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
241,006436.OF,大,大,大,大,大,大,稳定大
242,006287.OF,大,大,大,大,大,大,稳定大
243,008032.OF,大,大,大,大,大,大,稳定大
244,003214.OF,大,大,大,大,大,大,稳定大
245,014234.OF,大,大,大,大,大,大,稳定大
246,005782.OF,大,大,大,大,大,大,稳定大
247,015736.OF,大,大,大,大,大,大,稳定大
248,003102.OF,大,大,大,大,大,大,稳定大
249,015949.OF,大,大,大,大,大,大,稳定大
250,002438.OF,大,大,大,大,大,大,稳定大
251,007529.OF,大,大,大,大,大,大,稳定大
252,008217.OF,大,大,大,大,大,大,稳定大
253,011968.OF,大,大,大,大,大,大,稳定大
254,004438.OF,大,大,大,大,大,大,稳定大
255,008030.OF,大,大,大,大,大,大,稳定大
256,008568.OF,大,大,大,大,大,大,稳定大
257,004920.OF,大,大,大,大,大,大,稳定大
258,007772.OF,大,大,大,大,大,大,稳定大
259,006660.OF,大,大,大,大,大,大,稳定大
260,004705.OF,大,大,大,大,大,大,稳定大
261,016111.OF,大,大,大,大,大,大,稳定大
262,014242.OF,大,大,大,大,大,大,稳定大
263,008383.OF,大,大,大,大,大,大,稳定大
264,005388.OF,大,大,大,大,大,大,稳定大
265,002754.OF,大,大,大,大,大,大,稳定大
266,014638.OF,大,大,大,大,大,大,稳定大
267,006907.OF,大,大,大,大,大,大,稳定大
268,100058.OF,大,大,大,大,大,大,稳定大
269,002445.OF,大,大,大,大,大,大,稳定大
270,008139.OF,大,大,大,大,大,大,稳定大
271,002638.OF,大,大,大,大,大,大,稳定大
272,003315.OF,大,大,大,大,大,大,稳定大
273,015858.OF,大,大,大,大,大,大,稳定大
274,015622.OF,大,大,大,大,大,大,稳定大
275,007716.OF,大,大,大,大,大,大,稳定大
276,010232.OF,大,大,大,大,大,大,稳定大
277,014435.OF,大,大,大,大,大,大,稳定大
278,005670.OF,大,大,大,大,大,大,稳定大
279,015315.OF,大,大,大,大,大,大,稳定大
280,007175.OF,大,大,大,大,大,大,稳定大
281,007935.OF,大,大,大,大,大,大,稳定大
282,008925.OF,大,大,大,大,大,大,稳定大
283,070005.OF,大,大,大,大,大,大,稳定大
284,015263.OF,大,大,大,大,大,大,稳定大
285,007513.OF,大,大,大,大,大,大,稳定大
286,006405.OF,大,大,大,大,大,大,稳定大
287,017432.OF,大,大,大,大,大,大,稳定大
288,013901.OF,大,大,大,大,大,大,稳定大
289,005791.OF,大,大,大,大,大,大,稳定大
290,161019.SZ,大,大,大,大,大,大,稳定大
291,007555.OF,大,大,大,大,大,大,稳定大
292,016585.OF,大,大,大,大,大,大,稳定大
293,519762.OF,大,大,大,大,大,大,稳定大
294,013821.OF,大,大,大,大,大,大,稳定大
295,010946.OF,大,大,大,大,大,大,稳定大
296,008646.OF,大,大,大,大,大,大,稳定大
297,007692.OF,大,大,大,大,大,大,稳定大
298,007828.OF,大,大,大,大,大,大,稳定大
299,110051.OF,大,大,大,大,大,大,稳定大
300,013391.OF,大,大,大,大,大,大,稳定大
301,217003.OF,大,大,大,大,大,大,稳定大
302,006668.OF,大,大,大,大,大,大,稳定大
303,006367.OF,大,大,大,大,大,大,稳定大
304,008366.OF,大,大,大,大,大,大,稳定大
305,002716.OF,大,大,大,大,大,大,稳定大
306,005898.OF,大,大,大,大,大,大,稳定大
307,000005.OF,大,大,大,大,大,大,稳定大
308,008460.OF,大,大,大,大,大,大,稳定大
309,016793.OF,大,大,大,大,大,大,稳定大
310,014740.OF,大,大,大,大,大,大,稳定大
311,013077.OF,大,大,大,大,大,大,稳定大
312,013459.OF,大,大,大,大,大,大,稳定大
313,013875.OF,大,大,大,大,大,大,稳定大
314,000815.OF,大,大,大,大,大,大,稳定大
315,017687.OF,大,大,大,大,大,大,稳定大
316,006936.OF,大,大,大,大,大,大,稳定大
317,000037.OF,大,大,大,大,大,大,稳定大
318,006758.OF,大,大,大,大,大,大,稳定大
319,006137.OF,大,大,大,大,大,大,稳定大
320,002109.OF,大,大,大,大,大,大,稳定大
321,007342.OF,大,大,大,大,大,大,稳定大
322,009770.OF,大,大,大,大,大,大,稳定大
323,005710.OF,大,大,大,大,大,大,稳定大
324,007215.OF,大,大,大,大,大,大,稳定大
325,005879.OF,大,大,大,大,大,大,稳定大
326,005820.OF,大,大,大,大,大,大,稳定大
327,164703.SZ,大,大,大,大,大,大,稳定大
328,008807.OF,大,大,大,大,大,大,稳定大
329,004200.OF,大,大,大,大,大,大,稳定大
330,004639.OF,大,大,大,大,大,大,稳定大
331,485107.OF,大,大,大,大,大,大,稳定大
332,008509.OF,中,中,中,中,中,中,稳定中
333,519322.OF,中,中,中,中,中,中,稳定中
334,006591.OF,中,中,中,中,中,中,稳定中
